SURVEY: Hicken2009_LC
SNID: sn2006cc
IAUC: UNKNOWN
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.015 MW E(B-V)
REDSHIFT_HELIO: 0.032529 +- 0.001    (HELIO)
OBS: 53882.343 k  9281.1125 136.7665
OBS: 53886.364 k  7447.3203 109.7437
OBS: 53890.409 k  5754.3998 111.2958
OBS: 53891.374 k  5613.0645 129.2408
OBS: 53894.372 k  5505.5414 121.6945
OBS: 53899.340 k  5515.6923 116.8389
OBS: 53902.341 k  4915.8659 117.7153
OBS: 53907.363 k  3715.3526 95.8115
OBS: 53915.386 k  2466.0395 97.6626
END_PHOTOMETRY:

# =============================================
