SURVEY: SNLS3_LC
SNID: 03D3cc
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0118 MW E(B-V)
REDSHIFT_HELIO: 0.4627 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 52781.322
FILTERS: griz

NOBS: 23
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

SPEC:   4763.48   4768.48 2.52330e-17 3.15200e-18 1
SPEC:   4768.48   4773.48 2.26690e-17 3.18600e-18 1
SPEC:   4773.48   4778.48 2.54260e-17 3.68900e-18 1
SPEC:   4778.48   4783.48 2.75530e-17 3.11800e-18 1
SPEC:   4783.48   4788.48 2.24310e-17 3.12900e-18 1
SPEC:   4788.48   4793.48 3.18470e-17 3.67400e-18 1
SPEC:   4793.48   4798.48 2.52760e-17 3.17500e-18 1
SPEC:   4798.48   4803.48 2.52660e-17 3.15800e-18 1
SPEC:   4803.49   4808.49 2.73630e-17 3.13000e-18 1
SPEC:   4808.49   4813.49 3.18080e-17 3.69000e-18 1
SPEC:   4813.49   4818.49 2.60270e-17 3.28200e-18 1
SPEC:   4818.49   4823.49 2.86400e-17 3.34100e-18 1
SPEC:   4823.49   4828.49 3.36360e-17 3.84900e-18 1
SPEC:   4828.49   4833.49 3.01320e-17 3.28400e-18 1
SPEC:   4833.49   4838.49 2.54510e-17 3.32100e-18 1
SPEC:   4838.49   4843.49 2.72120e-17 3.27700e-18 1
SPEC:   4843.49   4848.49 3.22800e-17 3.73300e-18 1
SPEC:   4848.49   4853.50 2.79430e-17 3.16100e-18 1
SPEC:   4853.50   4858.50 3.16820e-17 3.12500e-18 1
SPEC:   4858.50   4863.50 2.54820e-17 3.61000e-18 1
SPEC:   4863.50   4868.50 2.77170e-17 3.10500e-18 1
SPEC:   4868.50   4873.50 2.30690e-17 3.02200e-18 1
SPEC:   4873.50   4878.50 3.04800e-17 3.06600e-18 1
SPEC:   4878.50   4883.50 2.36340e-17 3.56900e-18 1
SPEC:   4883.50   4888.50 2.70440e-17 3.08900e-18 1
SPEC:   4888.50   4893.50 3.56070e-17 3.10600e-18 1
SPEC:   4893.50   4898.50 3.75470e-17 3.55300e-18 1
SPEC:   4898.50   4903.51 3.43430e-17 3.05000e-18 1
SPEC:   4903.51   4908.51 2.75730e-17 3.02700e-18 1
SPEC:   4908.51   4913.51 2.93690e-17 2.97800e-18 1
SPEC:   4913.51   4918.51 3.45640e-17 3.42100e-18 1
SPEC:   4918.51   4923.51 2.65420e-17 2.92000e-18 1
SPEC:   4923.51   4928.51 2.96940e-17 2.94300e-18 1
SPEC:   4928.51   4933.51 2.90080e-17 3.42700e-18 1
SPEC:   4933.51   4938.51 3.43830e-17 2.98300e-18 1
SPEC:   4938.51   4943.51 3.05090e-17 2.95800e-18 1
SPEC:   4943.51   4948.51 2.73490e-17 3.38400e-18 1
SPEC:   4948.51   4953.52 3.34480e-17 2.99600e-18 1
SPEC:   4953.52   4958.52 3.36570e-17 2.96900e-18 1
SPEC:   4958.52   4963.52 3.13840e-17 2.98300e-18 1
