SPEC:   4188.65   4194.15 1.95869e-15 1.85332e-17 1
SPEC:   4194.15   4199.65 1.92342e-15 1.82417e-17 1
SPEC:   4199.65   4205.15 1.90669e-15 1.79835e-17 1
SPEC:   4205.15   4210.65 1.88244e-15 1.78148e-17 1
SPEC:   4210.65   4216.15 1.85910e-15 1.75944e-17 1
SPEC:   4216.15   4221.65 1.75540e-15 1.73866e-17 1
SPEC:   4221.75   4227.25 1.74454e-15 1.71743e-17 1
SPEC:   4227.25   4232.75 1.71647e-15 1.70693e-17 1
SPEC:   4232.75   4238.25 1.70843e-15 1.69419e-17 1
SPEC:   4238.25   4243.75 1.70066e-15 1.68111e-17 1
SPEC:   4243.75   4249.25 1.67222e-15 1.66995e-17 1
SPEC:   4249.35   4254.85 1.65716e-15 1.66513e-17 1
SPEC:   4254.85   4260.35 1.63908e-15 1.66403e-17 1
SPEC:   4260.35   4265.85 1.62721e-15 1.65796e-17 1
SPEC:   4265.85   4271.35 1.63253e-15 1.65860e-17 1
SPEC:   4271.35   4276.85 1.61909e-15 1.65434e-17 1
SPEC:   4276.85   4282.35 1.62012e-15 1.65856e-17 1
SPEC:   4282.45   4287.95 1.56749e-15 1.65430e-17 1
SPEC:   4287.95   4293.45 1.51463e-15 1.65784e-17 1
SPEC:   4293.45   4298.95 1.48454e-15 1.66472e-17 1
SPEC:   4298.95   4304.45 1.45106e-15 1.66593e-17 1
SPEC:   4304.45   4309.95 1.37776e-15 1.68216e-17 1
SPEC:   4310.05   4315.55 1.35078e-15 1.70551e-17 1
SPEC:   4315.55   4321.05 1.33493e-15 1.73072e-17 1
SPEC:   4321.05   4326.55 1.28922e-15 1.73071e-17 1
SPEC:   4326.55   4332.05 1.28565e-15 1.76796e-17 1
SPEC:   4332.05   4337.55 1.27293e-15 1.78471e-17 1
SPEC:   4337.55   4343.05 1.23200e-15 1.80032e-17 1
SPEC:   4343.15   4348.65 1.24345e-15 1.82626e-17 1
SPEC:   4348.65   4354.15 1.19763e-15 1.84600e-17 1
SPEC:   4354.15   4359.65 1.16427e-15 1.87426e-17 1
SPEC:   4359.65   4365.15 1.13723e-15 1.90068e-17 1
SPEC:   4365.15   4370.65 1.12209e-15 1.92498e-17 1
SPEC:   4370.65   4376.15 1.06656e-15 1.94172e-17 1
SPEC:   4376.25   4381.75 1.00214e-15 1.95654e-17 1
SPEC:   4381.75   4387.25 9.20146e-16 1.96832e-17 1
SPEC:   4387.25   4392.75 8.89078e-16 1.99182e-17 1
SPEC:   4392.75   4398.25 8.73732e-16 2.00257e-17 1
SPEC:   4398.25   4403.75 8.76633e-16 2.02005e-17 1
SPEC:   4403.85   4409.35 9.00856e-16 2.03463e-17 1
SPEC:   4409.35   4414.85 9.30563e-16 2.04862e-17 1
SPEC:   4414.85   4420.35 9.24541e-16 2.05005e-17 1
SPEC:   4420.35   4425.85 9.41775e-16 2.05157e-17 1
SPEC:   4425.85   4431.35 9.79361e-16 2.04522e-17 1
SPEC:   4431.35   4436.85 1.02681e-15 2.03666e-17 1
SPEC:   4436.95   4442.45 1.02833e-15 2.03551e-17 1
SPEC:   4442.45   4447.95 1.01230e-15 2.02313e-17 1
SPEC:   4447.95   4453.45 1.06325e-15 2.01212e-17 1
SPEC:   4453.45   4458.95 1.08662e-15 1.99301e-17 1
SPEC:   4458.95   4464.45 1.16330e-15 1.97887e-17 1
SPEC:   4464.55   4470.05 1.16518e-15 1.96324e-17 1
SPEC:   4470.05   4475.55 1.15655e-15 1.95010e-17 1
SPEC:   4475.55   4481.05 1.18042e-15 1.92851e-17 1
SPEC:   4481.05   4486.55 1.19750e-15 1.90390e-17 1
SPEC:   4486.55   4492.05 1.18929e-15 1.88098e-17 1
SPEC:   4492.15   4497.65 1.16983e-15 1.85925e-17 1
SPEC:   4497.65   4503.15 1.19205e-15 1.83430e-17 1
SPEC:   4503.15   4508.65 1.16190e-15 1.81139e-17 1
SPEC:   4508.65   4514.15 1.12601e-15 1.78297e-17 1
SPEC:   4514.15   4519.65 1.11320e-15 1.75739e-17 1
SPEC:   4519.65   4525.15 1.14521e-15 1.73410e-17 1
SPEC:   4525.15   4530.65 1.16666e-15 1.70791e-17 1
SPEC:   4530.75   4536.25 1.16885e-15 1.68197e-17 1
SPEC:   4536.25   4541.75 1.16002e-15 1.66124e-17 1
SPEC:   4541.75   4547.25 1.18474e-15 1.64013e-17 1
SPEC:   4547.25   4552.75 1.23306e-15 1.61730e-17 1
SPEC:   4552.75   4558.25 1.23522e-15 1.59394e-17 1
SPEC:   4558.35   4563.85 1.25376e-15 1.57475e-17 1
SPEC:   4563.85   4569.35 1.28254e-15 1.55131e-17 1
SPEC:   4569.35   4574.85 1.31278e-15 1.53518e-17 1
SPEC:   4574.85   4580.35 1.32561e-15 1.51821e-17 1
SPEC:   4580.35   4585.85 1.35785e-15 1.50215e-17 1
SPEC:   4585.85   4591.35 1.34920e-15 1.48923e-17 1
SPEC:   4591.45   4596.95 1.36927e-15 1.47643e-17 1
SPEC:   4596.95   4602.45 1.39336e-15 1.45899e-17 1
SPEC:   4602.45   4607.95 1.37871e-15 1.45158e-17 1
SPEC:   4607.95   4613.45 1.41604e-15 1.44310e-17 1
SPEC:   4613.45   4618.95 1.44851e-15 1.43497e-17 1
SPEC:   4619.05   4624.55 1.43772e-15 1.42911e-17 1
SPEC:   4624.55   4630.05 1.39499e-15 1.42112e-17 1
SPEC:   4630.05   4635.55 1.39423e-15 1.41295e-17 1
SPEC:   4635.55   4641.05 1.37494e-15 1.40950e-17 1
SPEC:   4641.05   4646.55 1.35504e-15 1.40889e-17 1
SPEC:   4646.65   4652.15 1.33853e-15 1.40599e-17 1
SPEC:   4652.15   4657.65 1.34233e-15 1.40340e-17 1
SPEC:   4657.65   4663.15 1.30901e-15 1.40796e-17 1
SPEC:   4663.15   4668.65 1.32114e-15 1.40881e-17 1
SPEC:   4668.65   4674.15 1.30205e-15 1.40985e-17 1
SPEC:   4674.15   4679.65 1.29552e-15 1.41528e-17 1
SPEC:   4679.65   4685.15 1.29449e-15 1.41784e-17 1
SPEC:   4685.25   4690.75 1.29405e-15 1.42110e-17 1
SPEC:   4690.75   4696.25 1.30810e-15 1.42265e-17 1
SPEC:   4696.25   4701.75 1.26556e-15 1.43083e-17 1
SPEC:   4701.75   4707.25 1.27618e-15 1.43543e-17 1
SPEC:   4707.25   4712.75 1.25280e-15 1.44257e-17 1
SPEC:   4712.85   4718.35 1.23487e-15 1.44864e-17 1
SPEC:   4718.35   4723.85 1.21725e-15 1.45494e-17 1
SPEC:   4723.85   4729.35 1.19050e-15 1.46481e-17 1
SPEC:   4729.35   4734.85 1.15074e-15 1.46797e-17 1
SPEC:   4734.85   4740.35 1.09376e-15 1.47688e-17 1
SPEC:   4740.35   4745.85 1.04777e-15 1.47980e-17 1
SPEC:   4745.95   4751.45 1.02809e-15 1.49069e-17 1
SPEC:   4751.45   4756.95 1.02369e-15 1.49581e-17 1
SPEC:   4756.95   4762.45 1.00509e-15 1.50180e-17 1
SPEC:   4762.45   4767.95 9.90386e-16 1.50905e-17 1
SPEC:   4767.95   4773.45 9.86504e-16 1.51846e-17 1
SPEC:   4773.55   4779.05 9.89312e-16 1.52672e-17 1
SPEC:   4779.05   4784.55 9.52608e-16 1.53325e-17 1
SPEC:   4784.55   4790.05 1.00227e-15 1.53813e-17 1
SPEC:   4790.05   4795.55 9.93988e-16 1.54321e-17 1
SPEC:   4795.55   4801.05 9.54235e-16 1.55445e-17 1
SPEC:   4801.15   4806.65 9.53392e-16 1.56323e-17 1
SPEC:   4806.65   4812.15 9.46941e-16 1.56713e-17 1
SPEC:   4812.15   4817.65 9.41873e-16 1.58090e-17 1
SPEC:   4817.65   4823.15 9.33213e-16 1.59065e-17 1
SPEC:   4823.15   4828.65 9.42252e-16 1.59857e-17 1
SPEC:   4828.65   4834.15 9.04397e-16 1.60915e-17 1
SPEC:   4834.25   4839.75 8.88331e-16 1.61903e-17 1
SPEC:   4839.75   4845.25 8.66324e-16 1.62446e-17 1
SPEC:   4845.25   4850.75 8.61075e-16 1.63844e-17 1
SPEC:   4850.75   4856.25 8.70386e-16 1.64703e-17 1
SPEC:   4856.25   4861.75 8.34879e-16 1.65710e-17 1
SPEC:   4861.85   4867.35 8.68200e-16 1.66563e-17 1
SPEC:   4867.35   4872.85 8.71806e-16 1.67394e-17 1
SPEC:   4872.85   4878.35 9.19073e-16 1.68294e-17 1
SPEC:   4878.35   4883.85 9.23562e-16 1.69101e-17 1
SPEC:   4883.85   4889.35 9.18658e-16 1.69658e-17 1
SPEC:   4889.35   4894.85 9.34696e-16 1.70546e-17 1
SPEC:   4894.85   4900.35 9.44394e-16 1.70848e-17 1
SPEC:   4900.45   4905.95 9.43343e-16 1.71463e-17 1
SPEC:   4905.95   4911.45 9.16687e-16 1.71412e-17 1
SPEC:   4911.45   4916.95 8.85562e-16 1.71967e-17 1
SPEC:   4916.95   4922.45 8.48715e-16 1.72854e-17 1
SPEC:   4922.45   4927.95 7.99026e-16 1.71490e-17 1
SPEC:   4928.05   4933.55 7.41245e-16 1.71366e-17 1
SPEC:   4933.55   4939.05 7.15473e-16 1.71397e-17 1
SPEC:   4939.05   4944.55 6.76343e-16 1.70717e-17 1
SPEC:   4944.55   4950.05 6.32035e-16 1.70269e-17 1
SPEC:   4950.05   4955.55 6.43680e-16 1.70432e-17 1
SPEC:   4955.65   4961.15 6.05833e-16 1.69399e-17 1
SPEC:   4961.15   4966.65 5.68725e-16 1.69209e-17 1
SPEC:   4966.65   4972.15 5.74022e-16 1.68412e-17 1
SPEC:   4972.15   4977.65 5.74513e-16 1.68011e-17 1
SPEC:   4977.65   4983.15 5.83979e-16 1.67413e-17 1
SPEC:   4983.15   4988.65 5.87017e-16 1.67463e-17 1
SPEC:   4988.75   4994.25 6.20145e-16 1.67417e-17 1
SPEC:   4994.25   4999.75 6.35377e-16 1.67370e-17 1
SPEC:   4999.75   5005.25 6.87394e-16 1.66937e-17 1
SPEC:   5005.25   5010.75 6.78423e-16 1.67275e-17 1
SPEC:   5010.75   5016.25 7.01141e-16 1.67529e-17 1
SPEC:   5016.35   5021.85 7.17054e-16 1.68172e-17 1
SPEC:   5021.85   5027.35 7.03518e-16 1.68831e-17 1
SPEC:   5027.35   5032.85 7.38348e-16 1.69639e-17 1
SPEC:   5032.85   5038.35 7.53062e-16 1.70721e-17 1
SPEC:   5038.35   5043.85 7.48421e-16 1.71257e-17 1
SPEC:   5043.85   5049.35 7.52699e-16 1.72914e-17 1
SPEC:   5049.45   5054.95 7.53043e-16 1.74555e-17 1
SPEC:   5054.95   5060.45 7.60682e-16 1.76049e-17 1
SPEC:   5060.45   5065.95 7.57133e-16 1.77883e-17 1
SPEC:   5065.95   5071.45 7.74348e-16 1.79242e-17 1
SPEC:   5071.45   5076.95 7.48787e-16 1.80233e-17 1
SPEC:   5077.05   5082.55 7.66558e-16 1.82056e-17 1
SPEC:   5082.55   5088.05 7.36154e-16 1.83553e-17 1
SPEC:   5088.05   5093.55 7.59180e-16 1.85232e-17 1
SPEC:   5093.55   5099.05 7.97060e-16 1.86381e-17 1
SPEC:   5099.05   5104.55 8.05590e-16 1.87469e-17 1
SPEC:   5104.55   5110.05 8.33705e-16 1.88567e-17 1
SPEC:   5110.15   5115.65 8.21326e-16 1.89309e-17 1
SPEC:   5115.65   5121.15 8.16463e-16 1.89940e-17 1
SPEC:   5121.15   5126.65 7.91169e-16 1.89969e-17 1
SPEC:   5126.65   5132.15 7.31781e-16 1.90065e-17 1
SPEC:   5132.15   5137.65 7.66222e-16 1.89935e-17 1
SPEC:   5137.65   5143.15 8.16913e-16 1.89090e-17 1
SPEC:   5143.25   5148.75 8.58427e-16 1.88802e-17 1
SPEC:   5148.75   5154.25 8.91470e-16 1.87927e-17 1
SPEC:   5154.25   5159.75 9.02784e-16 1.86034e-17 1
SPEC:   5159.75   5165.25 8.87057e-16 1.84817e-17 1
SPEC:   5165.25   5170.75 8.90023e-16 1.82782e-17 1
