SPEC:   4229.95   4235.65 7.62011e-16 2.57263e-17 1
SPEC:   4235.65   4241.35 8.31617e-16 2.55412e-17 1
SPEC:   4241.35   4247.05 8.47287e-16 2.54726e-17 1
SPEC:   4247.15   4252.85 8.35180e-16 2.54328e-17 1
SPEC:   4252.85   4258.55 8.42836e-16 2.54515e-17 1
SPEC:   4258.55   4264.25 8.82407e-16 2.53373e-17 1
SPEC:   4264.35   4270.05 8.51854e-16 2.53964e-17 1
SPEC:   4270.05   4275.75 9.20217e-16 2.53308e-17 1
SPEC:   4275.75   4281.45 9.27116e-16 2.53619e-17 1
SPEC:   4281.55   4287.25 9.11996e-16 2.52779e-17 1
SPEC:   4287.25   4292.95 8.90469e-16 2.52312e-17 1
SPEC:   4292.95   4298.65 9.15071e-16 2.52283e-17 1
SPEC:   4298.75   4304.45 9.36123e-16 2.51270e-17 1
SPEC:   4304.45   4310.15 9.04622e-16 2.51878e-17 1
SPEC:   4310.15   4315.85 9.08129e-16 2.53131e-17 1
SPEC:   4315.95   4321.65 8.91245e-16 2.54289e-17 1
SPEC:   4321.65   4327.35 8.31404e-16 2.52764e-17 1
SPEC:   4327.35   4333.05 8.54166e-16 2.54754e-17 1
SPEC:   4333.15   4338.85 8.24173e-16 2.54613e-17 1
SPEC:   4338.85   4344.55 8.25740e-16 2.54785e-17 1
SPEC:   4344.55   4350.25 8.55978e-16 2.55372e-17 1
SPEC:   4350.35   4356.05 7.92243e-16 2.55295e-17 1
SPEC:   4356.05   4361.75 8.10892e-16 2.56871e-17 1
SPEC:   4361.75   4367.45 7.84654e-16 2.57671e-17 1
SPEC:   4367.55   4373.25 7.43460e-16 2.58565e-17 1
SPEC:   4373.25   4378.95 7.85204e-16 2.58748e-17 1
SPEC:   4378.95   4384.65 7.92964e-16 2.59048e-17 1
SPEC:   4384.75   4390.45 7.41875e-16 2.59286e-17 1
SPEC:   4390.45   4396.15 7.88333e-16 2.60004e-17 1
SPEC:   4396.15   4401.85 7.34084e-16 2.61565e-17 1
SPEC:   4401.95   4407.65 7.33826e-16 2.62476e-17 1
SPEC:   4407.65   4413.35 7.07433e-16 2.64266e-17 1
SPEC:   4413.35   4419.05 6.86241e-16 2.65060e-17 1
SPEC:   4419.15   4424.85 7.15755e-16 2.65622e-17 1
SPEC:   4424.85   4430.55 6.40063e-16 2.66083e-17 1
SPEC:   4430.55   4436.25 6.92267e-16 2.66238e-17 1
SPEC:   4436.35   4442.05 6.21679e-16 2.67521e-17 1
SPEC:   4442.05   4447.75 6.24644e-16 2.67794e-17 1
SPEC:   4447.75   4453.45 6.08635e-16 2.68590e-17 1
SPEC:   4453.55   4459.25 6.21812e-16 2.68611e-17 1
SPEC:   4459.25   4464.95 6.14979e-16 2.69598e-17 1
SPEC:   4464.95   4470.65 6.09311e-16 2.70240e-17 1
SPEC:   4470.75   4476.45 5.76572e-16 2.71485e-17 1
SPEC:   4476.45   4482.15 5.32061e-16 2.71682e-17 1
SPEC:   4482.15   4487.85 5.48274e-16 2.71890e-17 1
SPEC:   4487.95   4493.65 4.99475e-16 2.72526e-17 1
SPEC:   4493.65   4499.35 4.93798e-16 2.72613e-17 1
SPEC:   4499.35   4505.05 4.55772e-16 2.72741e-17 1
SPEC:   4505.15   4510.85 5.26199e-16 2.72844e-17 1
SPEC:   4510.85   4516.55 4.87361e-16 2.72455e-17 1
SPEC:   4516.55   4522.25 4.62831e-16 2.72425e-17 1
SPEC:   4522.35   4528.05 4.67384e-16 2.71909e-17 1
SPEC:   4528.05   4533.75 4.71823e-16 2.71154e-17 1
SPEC:   4533.75   4539.45 5.14846e-16 2.70779e-17 1
