SPEC:   4036.32   4038.35 5.72522e-01 2.38451e-02 1
SPEC:   4038.35   4040.38 6.14290e-01 2.42684e-02 1
SPEC:   4040.38   4042.40 6.44152e-01 2.48137e-02 1
SPEC:   4042.40   4044.43 5.85739e-01 2.41887e-02 1
SPEC:   4044.43   4046.46 5.94914e-01 2.43985e-02 1
SPEC:   4046.46   4048.49 5.71637e-01 2.41732e-02 1
SPEC:   4048.49   4050.51 5.68460e-01 2.41967e-02 1
SPEC:   4050.51   4052.54 5.77305e-01 2.35324e-02 1
SPEC:   4052.54   4054.57 6.14708e-01 2.37117e-02 1
SPEC:   4054.57   4056.60 5.60947e-01 2.31705e-02 1
SPEC:   4056.60   4058.63 5.68857e-01 2.32434e-02 1
SPEC:   4058.63   4060.65 5.88704e-01 2.32846e-02 1
SPEC:   4060.65   4062.68 5.63549e-01 2.29294e-02 1
SPEC:   4062.68   4064.71 5.72784e-01 2.28033e-02 1
SPEC:   4064.71   4066.74 5.84743e-01 2.30691e-02 1
SPEC:   4066.74   4068.76 5.94514e-01 2.33206e-02 1
SPEC:   4068.76   4070.79 5.88430e-01 2.29635e-02 1
SPEC:   4070.79   4072.82 6.14492e-01 2.30782e-02 1
SPEC:   4072.82   4074.85 6.31384e-01 2.32565e-02 1
SPEC:   4074.85   4076.88 6.17284e-01 2.29757e-02 1
SPEC:   4076.88   4078.90 5.84218e-01 2.27348e-02 1
SPEC:   4078.90   4080.93 6.00376e-01 2.29771e-02 1
SPEC:   4080.93   4082.96 6.18437e-01 2.31265e-02 1
SPEC:   4082.96   4084.99 6.59025e-01 2.32515e-02 1
SPEC:   4084.99   4087.01 6.18297e-01 2.31167e-02 1
SPEC:   4087.01   4089.04 6.24982e-01 2.29308e-02 1
SPEC:   4089.04   4091.07 6.63922e-01 2.32031e-02 1
SPEC:   4091.07   4093.10 6.67144e-01 2.30608e-02 1
SPEC:   4093.10   4095.13 6.42977e-01 2.27008e-02 1
SPEC:   4095.13   4097.15 6.00084e-01 2.21881e-02 1
SPEC:   4097.15   4099.18 6.51575e-01 2.22627e-02 1
SPEC:   4099.18   4101.21 6.78328e-01 2.20580e-02 1
SPEC:   4101.21   4103.24 6.59905e-01 2.21555e-02 1
SPEC:   4103.24   4105.26 6.89478e-01 2.25374e-02 1
SPEC:   4105.26   4107.29 6.49459e-01 2.21391e-02 1
SPEC:   4107.29   4109.32 6.95752e-01 2.26603e-02 1
SPEC:   4109.32   4111.35 7.51400e-01 2.28869e-02 1
SPEC:   4111.35   4113.38 7.51517e-01 2.31057e-02 1
SPEC:   4113.38   4115.40 7.26980e-01 2.27140e-02 1
SPEC:   4115.40   4117.43 7.07004e-01 2.25752e-02 1
SPEC:   4117.43   4119.46 7.06760e-01 2.24852e-02 1
SPEC:   4119.46   4121.49 7.31024e-01 2.28285e-02 1
SPEC:   4121.49   4123.52 7.39187e-01 2.28651e-02 1
SPEC:   4123.52   4125.54 7.60970e-01 2.28001e-02 1
SPEC:   4125.54   4127.57 7.63105e-01 2.28856e-02 1
SPEC:   4127.57   4129.60 7.32870e-01 2.24138e-02 1
SPEC:   4129.60   4131.63 7.52120e-01 2.25340e-02 1
SPEC:   4131.63   4133.65 7.47989e-01 2.25800e-02 1
SPEC:   4133.65   4135.68 7.78049e-01 2.27450e-02 1
SPEC:   4135.68   4137.71 8.17309e-01 2.30744e-02 1
SPEC:   4137.71   4139.74 7.72702e-01 2.29669e-02 1
SPEC:   4139.74   4141.77 7.29241e-01 2.22451e-02 1
SPEC:   4141.77   4143.79 7.58896e-01 2.23118e-02 1
SPEC:   4143.79   4145.82 7.74838e-01 2.22722e-02 1
SPEC:   4145.82   4147.85 7.37190e-01 2.20507e-02 1
SPEC:   4147.85   4149.88 7.22672e-01 2.19620e-02 1
SPEC:   4149.88   4151.90 7.09478e-01 2.17683e-02 1
SPEC:   4151.90   4153.93 7.55362e-01 2.19814e-02 1
SPEC:   4153.93   4155.96 7.90751e-01 2.23558e-02 1
SPEC:   4155.96   4157.99 7.87451e-01 2.23240e-02 1
SPEC:   4157.99   4160.02 8.32146e-01 2.27223e-02 1
SPEC:   4160.02   4162.04 8.14793e-01 2.23157e-02 1
SPEC:   4162.04   4164.07 8.16641e-01 2.25526e-02 1
SPEC:   4164.07   4166.10 8.02660e-01 2.25298e-02 1
SPEC:   4166.10   4168.13 7.11646e-01 2.18241e-02 1
SPEC:   4168.13   4170.15 7.03515e-01 2.15012e-02 1
SPEC:   4170.15   4172.18 7.91288e-01 2.21480e-02 1
SPEC:   4172.18   4174.21 7.96039e-01 2.17941e-02 1
SPEC:   4174.21   4176.24 7.43313e-01 2.13886e-02 1
SPEC:   4176.24   4178.27 7.48338e-01 2.15280e-02 1
SPEC:   4178.27   4180.29 7.10680e-01 2.11145e-02 1
SPEC:   4180.29   4182.32 7.35945e-01 2.13802e-02 1
SPEC:   4182.32   4184.35 7.46931e-01 2.12311e-02 1
SPEC:   4184.35   4186.38 6.83212e-01 2.08483e-02 1
SPEC:   4186.38   4188.40 6.49716e-01 2.03925e-02 1
SPEC:   4188.40   4190.43 7.14866e-01 2.09773e-02 1
SPEC:   4190.43   4192.46 7.08173e-01 2.09624e-02 1
SPEC:   4192.46   4194.49 7.23694e-01 2.10555e-02 1
SPEC:   4194.49   4196.52 7.41932e-01 2.07999e-02 1
SPEC:   4196.52   4198.54 7.15223e-01 2.05063e-02 1
SPEC:   4198.54   4200.57 6.90311e-01 2.04189e-02 1
SPEC:   4200.57   4202.60 7.19976e-01 2.07515e-02 1
SPEC:   4202.60   4204.63 7.17814e-01 2.07266e-02 1
SPEC:   4204.63   4206.65 7.17210e-01 2.07575e-02 1
SPEC:   4206.65   4208.68 7.03534e-01 2.06424e-02 1
SPEC:   4208.68   4210.71 7.22170e-01 2.07785e-02 1
SPEC:   4210.71   4212.74 7.16627e-01 2.05819e-02 1
SPEC:   4212.74   4214.77 6.78658e-01 2.03678e-02 1
SPEC:   4214.77   4216.79 6.92589e-01 2.02731e-02 1
