NVAR: 6 
VARNAMES:  Z PEAKMJD S2c S2x1 SNRMAX MAGT0_g
#
# Simulation SUMMARY: one row per event. 
#  MODEL:     SALT2.JLA-B14 
#  PRESCALE:  1 
#  SELECTION: Pass Trigger + Cuts



SN:  6.04131e-02 57442.582 -1.69934e-01 1.94205e+00 4.07653e+01 1.70392e+01
SN:  3.83094e-02 57256.789 -7.00444e-02 -9.90990e-01 1.05336e+02 1.69438e+01
SN:  2.48352e-02 57277.875 2.37215e-03 -8.32628e-01 1.79605e+02 1.62591e+01
SN:  6.72003e-02 57234.305 -1.71738e-01 -1.09180e+00 3.51042e+01 1.80139e+01
SN:  3.63454e-02 57262.816 -1.38278e-01 1.61847e+00 1.49485e+02 1.63767e+01
SN:  1.09265e-01 57434.375 -2.25409e-01 9.10935e-01 4.41705e+01 1.84996e+01
SN:  1.09036e-02 57467.070 4.41787e-02 -2.64339e-01 2.09748e+02 1.47623e+01
SN:  6.44708e-02 57417.840 -7.66625e-02 1.66319e+00 6.83346e+01 1.77338e+01
SN:  2.07345e-02 57459.984 2.78173e-01 5.17567e-01 1.44289e+02 1.66035e+01
SN:  6.19241e-02 57310.012 -1.15004e-01 -1.07300e-01 5.32174e+01 1.77031e+01
SN:  7.54139e-02 57169.004 -1.52893e-02 6.96970e-01 5.18506e+01 1.83186e+01
SN:  3.31853e-02 57443.035 -6.08147e-02 9.31197e-01 1.58913e+02 1.63566e+01
SN:  7.06431e-02 57442.582 -1.62632e-01 1.19782e-01 2.22209e+01 1.81335e+01
SN:  7.73957e-02 57278.652 -1.81964e-01 2.04374e+00 1.23307e+02 1.75873e+01
SN:  2.69790e-02 57319.539 -2.27748e-02 3.01902e-01 1.52203e+02 1.63956e+01
SN:  5.92399e-02 57169.004 -1.01195e-01 1.55239e+00 8.90383e+01 1.74478e+01
SN:  1.00757e-01 57163.891 -1.96943e-01 2.46553e+00 5.20274e+01 1.81098e+01
SN:  2.75571e-02 57054.688 2.42191e-02 -1.19050e-01 3.85369e+02 1.64857e+01
SN:  2.50079e-02 57161.758 -1.31334e-01 9.01843e-01 1.74098e+02 1.58507e+01
SN:  3.97909e-02 57459.406 -3.93736e-02 1.46429e+00 5.59064e+01 1.67089e+01
SN:  9.04912e-02 57310.012 -1.33593e-02 1.96172e+00 3.97103e+01 1.84671e+01
SN:  4.05639e-02 57169.879 -1.19000e-01 1.52714e+00 1.09547e+02 1.64173e+01
SN:  2.08967e-02 57392.785 -5.87255e-02 -1.01007e+00 1.96231e+02 1.56982e+01
SN:  1.14493e-02 57238.766 -1.39746e-02 -8.07755e-01 2.68212e+02 1.46910e+01
SN:  2.94589e-02 57461.492 -7.41377e-02 6.86273e-01 2.25458e+02 1.60790e+01
SN:  3.81543e-02 57467.070 -6.26291e-02 1.00204e+00 6.57863e+01 1.68249e+01
SN:  1.77950e-02 57163.891 -9.06365e-02 -1.47060e+00 2.49651e+02 1.51603e+01
SN:  7.16308e-02 57123.004 -1.69254e-01 2.50172e+00 1.03917e+02 1.76334e+01
SN:  1.18556e-01 57333.320 -1.66049e-01 3.55570e+00 4.42523e+01 1.83840e+01
SN:  7.65670e-02 57454.855 -1.67472e-01 2.01687e+00 4.12695e+01 1.76872e+01
SN:  4.32353e-02 57469.965 -2.20414e-02 1.66465e+00 7.18204e+01 1.69342e+01
