SURVEY: DES
SNID: 1310395
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 36.534325               # deg
DECL: -6.759992               # deg
MWEBV: 0.030                    # MW E(B-V)
MWEBV_ERR: 0.001                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 56979.285
REDSHIFT_FINAL: 0.2890 +-  0.0100    # (CMB)
 2.99  2.762 4.31  3.99  3.87  3.55  2.6   2.39  2.24  2.183 3.28  3.17
 2.6   2.547 2.43  2.24  2.06  1.954 2.56  2.3   2.05  1.876 3.28  2.5
 2.29  2.29  3.36  3.05  3.01  2.937 2.37  2.31  2.04  1.98 ]
SKYSIG: [ 8.7  12.94 23.   21.28  7.9  12.35 21.03 20.49  7.79 11.78 21.73 29.41
  7.87 12.74 26.82 25.05  8.2  11.96 22.53 21.47 20.19 28.54 34.3  17.38
 26.84 23.77 21.15 20.89 28.52 24.52 25.18 23.6  29.65 23.    7.76 11.32
 22.99 23.22  7.7  10.82 18.98 17.67  8.04 11.08 19.83 19.38 13.82 15.18
 21.74 18.23 34.69 31.4  35.76 25.43 14.71 15.23 27.07 25.71 10.79 11.52
 20.53 19.49  8.98 12.8  26.54 26.04 27.28 26.08 30.4  22.15]
GAIN: [4.11  3.85  3.96  4.233 4.11  3.82  3.96  4.21  4.12  3.78  3.93  4.21
 4.09  3.85  3.91  4.224 4.08  3.82  3.95  4.215 4.31  3.96  4.24  3.87
 3.89  4.18  4.29  3.95  3.99  4.2   4.31  3.91  3.97  4.213 4.1   3.79
 3.93  4.174 4.1   3.78  3.86  4.175 4.11  3.79  3.92  4.215 4.24  3.89
 3.93  4.275 4.29  3.95  3.98  4.234 4.25  3.87  3.94  4.234 4.16  3.8
 3.95  4.22  4.15  3.85  3.91  4.232 4.29  3.89  3.97  4.2  ]
PHOTFLAG: [    0     0     0     0     0     0     0     0     0     0     0 65536
     0     0     0     0     0     0     0     0     0     0 32768     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0]
PHOTPROB: [0.95 1.05 0.93 0.9  0.92 0.91 0.89 0.91 1.   0.8  0.86 1.01 0.99 0.82
 1.02 1.01 1.03 0.82 0.94 0.87 0.98 1.08 0.94 0.91 0.85 0.93 0.96 0.85
 0.9  0.89 1.   0.9  0.88 0.92 1.01 0.87 0.86 0.89 0.91 0.88 0.91 0.86
 1.02 0.88 0.87 0.85 0.95 0.96 0.84 0.86 0.98 1.01 0.82 0.94 0.93 0.93
 0.94 0.93 1.01 0.94 1.01 0.89 0.82 0.85 0.88 0.91 1.02 0.99 0.91 0.9 ]
SPECTRA: {}

NOBS: 70
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 56956.203  g  NULL 0.0430000 4.8827000
OBS: 56956.206  r  NULL 1.5233000 6.5038000
OBS: 56956.208  i  NULL 7.4231000 8.3361000
OBS: 56956.211  z  NULL -6.4760000 7.8362000
OBS: 56960.226  g  NULL 8.3440000 5.6385000
OBS: 56960.228  r  NULL 10.7410000 8.5488000
OBS: 56960.231  i  NULL 10.2870000 8.6895000
OBS: 56960.233  z  NULL -0.3160000 11.4890000
OBS: 56973.073  g  NULL 119.4000000 4.8428000
OBS: 56973.075  r  NULL 141.1100000 6.1851000
OBS: 56973.077  i  NULL 144.5000000 7.0340000
OBS: 56973.078  z  NULL 137.7400000 11.0790000
OBS: 56980.066  g  NULL 139.7600000 4.7771000
OBS: 56980.068  r  NULL 190.9600000 6.5580000
OBS: 56980.070  i  NULL 208.1800000 9.0037000
OBS: 56980.072  z  NULL 137.1600000 8.6860000
OBS: 56987.071  g  NULL 97.5640000 4.8450000
OBS: 56987.073  r  NULL 192.8100000 6.8161000
OBS: 56987.075  i  NULL 186.7200000 7.4491000
OBS: 56987.077  z  NULL 125.8500000 8.0963000
OBS: 56990.071  g  NULL 29.0390000 29.5490000
OBS: 56990.074  r  NULL 184.4200000 31.8770000
OBS: 56990.080  z  NULL 109.5700000 21.2300000
OBS: 56991.125  r  NULL 159.2200000 16.0810000
OBS: 56991.127  i  NULL 148.8400000 20.5900000
OBS: 56991.130  z  NULL 106.8200000 23.9990000
OBS: 56992.061  g  NULL 54.5050000 13.5930000
OBS: 56992.064  r  NULL 142.0300000 10.1600000
OBS: 56992.066  i  NULL 161.6800000 9.6722000
OBS: 56992.068  z  NULL 102.7100000 9.4175000
OBS: 57001.226  g  NULL 42.7430000 16.2400000
OBS: 57001.228  r  NULL 93.0150000 11.3410000
OBS: 57001.230  i  NULL 113.6100000 10.5890000
OBS: 57001.232  z  NULL 90.1640000 12.2170000
OBS: 57005.072  g  NULL 25.8450000 6.0859000
OBS: 57005.074  r  NULL 63.3630000 7.6883000
OBS: 57005.076  i  NULL 113.5700000 11.1670000
OBS: 57005.079  z  NULL 98.3110000 12.5250000
OBS: 57012.054  g  NULL 19.3270000 9.5110000
OBS: 57012.056  r  NULL 40.9100000 10.9070000
OBS: 57012.058  i  NULL 77.2960000 11.7290000
OBS: 57012.061  z  NULL 94.7780000 14.5470000
OBS: 57014.056  g  NULL 4.0049000 4.7059000
OBS: 57014.058  r  NULL 37.8100000 6.1351000
OBS: 57014.060  i  NULL 75.5560000 7.5758000
OBS: 57014.063  z  NULL 102.1500000 8.6595000
OBS: 57019.084  g  NULL 6.6560000 9.8959000
OBS: 57019.087  r  NULL 25.4630000 9.8779000
OBS: 57019.089  i  NULL 71.0080000 8.9934000
OBS: 57019.092  z  NULL 67.3920000 9.3665000
OBS: 57026.091  g  NULL -42.2750000 23.1110000
OBS: 57026.094  r  NULL 24.2750000 15.0430000
OBS: 57026.096  i  NULL 57.2100000 11.3450000
OBS: 57026.098  z  NULL 43.5950000 10.0210000
OBS: 57033.040  g  NULL -1.2120000 7.8054000
OBS: 57033.042  r  NULL 27.8200000 7.5035000
OBS: 57033.044  i  NULL 39.2200000 9.1438000
OBS: 57033.047  z  NULL 53.2540000 8.9910000
OBS: 57040.043  g  NULL -1.9190000 7.7483000
OBS: 57040.049  r  NULL 16.7970000 6.6100000
OBS: 57040.052  i  NULL 30.8980000 7.5491000
OBS: 57040.054  z  NULL 9.1000000 8.7645000
OBS: 57045.046  g  NULL 8.0430000 6.6249000
OBS: 57045.048  r  NULL 12.1480000 8.7443000
OBS: 57045.050  i  NULL 34.2160000 12.2940000
OBS: 57045.053  z  NULL 17.7920000 14.2050000
OBS: 57052.035  g  NULL -13.2850000 15.6440000
OBS: 57052.037  r  NULL 7.9240000 14.0540000
OBS: 57052.039  i  NULL 19.9310000 9.4724000
OBS: 57052.042  z  NULL 20.7230000 8.7288000
END_PHOTOMETRY:

# =============================================
