SURVEY: DES
SNID: 1327978
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 8.279955               # deg
DECL: -44.140156               # deg
MWEBV: 0.006                    # MW E(B-V)
MWEBV_ERR: 0.000                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 57305.25
REDSHIFT_FINAL: 0.2073 +-  0.0010    # (CMB)
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 57283.129  g  NULL -2.9510000 24.5530000
OBS: 57283.131  r  NULL -10.8920000 51.5700000
OBS: 57283.133  i  NULL -57.1570000 64.7210000
OBS: 57283.137  z  NULL -15.3690000 76.4780000
OBS: 57287.069  g  NULL 21.5560000 37.8670000
OBS: 57287.072  r  NULL 8.3750000 60.2220000
OBS: 57287.074  i  NULL -11.6250000 63.6630000
OBS: 57287.077  z  NULL -12.5050000 71.6140000
OBS: 57288.070  i  NULL 56.1500000 74.0610000
OBS: 57288.073  z  NULL 85.8460000 89.2430000
OBS: 57290.065  r  NULL 71.9770000 78.7570000
OBS: 57290.067  i  NULL 142.8100000 99.6330000
OBS: 57290.070  z  NULL 24.1900000 84.8950000
OBS: 57291.079  g  NULL 113.7900000 61.2170000
OBS: 57291.081  r  NULL 65.7240000 69.9090000
OBS: 57291.083  i  NULL 92.2720000 50.1290000
OBS: 57291.086  z  NULL 72.8250000 49.6710000
OBS: 57297.043  g  NULL 243.0700000 22.3070000
OBS: 57297.048  i  NULL 230.8700000 60.6870000
OBS: 57297.050  z  NULL 184.9100000 77.1640000
OBS: 57301.046  g  NULL 364.0000000 26.3560000
OBS: 57301.049  r  NULL 368.1000000 59.6480000
OBS: 57301.051  i  NULL 422.8900000 102.4900000
OBS: 57301.052  z  NULL 396.1200000 134.4900000
OBS: 57305.064  g  NULL 429.2200000 26.0560000
OBS: 57305.066  r  NULL 495.4700000 51.2200000
OBS: 57305.068  i  NULL 416.8400000 77.1960000
OBS: 57305.071  z  NULL 302.0300000 112.6100000
OBS: 57311.020  g  NULL 382.2200000 20.5660000
OBS: 57311.023  r  NULL 493.9500000 38.7460000
OBS: 57311.028  z  NULL 240.8200000 55.6240000
OBS: 57315.163  g  NULL 314.2000000 23.7760000
OBS: 57315.168  i  NULL 370.6400000 67.0040000
OBS: 57315.171  z  NULL 203.1100000 68.2040000
OBS: 57325.014  i  NULL 234.1200000 43.3890000
OBS: 57325.017  z  NULL 159.0700000 51.1750000
OBS: 57329.033  i  NULL 215.0100000 43.2030000
OBS: 57329.035  z  NULL 125.7600000 56.5620000
OBS: 57334.231  z  NULL 182.6300000 43.2380000
OBS: 57340.063  g  NULL 34.3460000 15.1900000
OBS: 57340.066  r  NULL 140.6800000 30.1610000
OBS: 57340.070  z  NULL 180.4100000 43.2610000
OBS: 57342.021  g  NULL 23.2550000 13.9290000
OBS: 57342.028  z  NULL 209.6300000 50.6950000
OBS: 57347.076  g  NULL 22.7880000 27.0650000
OBS: 57347.079  r  NULL 108.9300000 42.6560000
OBS: 57347.081  i  NULL 161.1900000 40.7900000
OBS: 57347.083  z  NULL 147.1100000 44.0950000
OBS: 57356.127  z  NULL 93.4800000 32.0770000
OBS: 57366.046  z  NULL 65.3040000 40.4480000
OBS: 57373.036  g  NULL 3.6040000 25.8810000
OBS: 57373.038  r  NULL 61.9470000 39.6150000
OBS: 57373.040  i  NULL 68.8690000 55.2480000
OBS: 57373.043  z  NULL 56.9390000 58.5000000
END_PHOTOMETRY:

# =============================================
