SURVEY: SNLS
SNID: 05D1ke
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 36.692882 deg
DECL: -4.862496 deg
MWEBV: 0.0231 MW E(B-V)
REDSHIFT_HELIO: 0.69 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.69 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53731.3
FILTERS: griz
OBS: 53993.490  r  NULL -0.2010000 0.9810000
OBS: 53996.570  r  NULL 2.4470000 1.3490000
OBS: 53999.550  r  NULL -0.7230000 1.0860000
OBS: 54006.600  r  NULL 2.3470000 2.5910000
OBS: 54019.500  r  NULL -2.3890000 1.6580000
OBS: 54023.450  r  NULL 1.3090000 1.3690000
OBS: 54031.510  r  NULL -1.8330000 1.6790000
OBS: 54035.410  r  NULL 0.2990000 1.1760000
OBS: 54039.360  r  NULL 0.7030000 2.2230000
OBS: 54053.430  r  NULL 0.3100000 0.9990000
OBS: 54056.430  r  NULL -1.9680000 1.2320000
OBS: 54060.410  r  NULL 1.1070000 0.9070000
OBS: 54063.420  r  NULL -0.4540000 1.1410000
OBS: 54066.320  r  NULL -0.5190000 1.4730000
OBS: 53699.350  z  NULL 1.4230000 2.4710000
OBS: 53705.390  z  NULL 2.8330000 2.2740000
OBS: 53726.380  z  NULL 53.6650000 3.7820000
OBS: 53734.340  z  NULL 57.1320000 3.8250000
OBS: 53739.350  z  NULL 54.5390000 3.1600000
OBS: 53963.620  z  NULL 6.7870000 3.9440000
OBS: 53971.590  z  NULL 4.7220000 3.3070000
OBS: 53979.600  z  NULL -1.2770000 3.3990000
OBS: 53993.530  z  NULL 4.2660000 2.4940000
OBS: 54000.620  z  NULL -5.6800000 4.7160000
OBS: 54020.530  z  NULL -48.9910000 23.6290000
OBS: 54021.560  z  NULL -0.2760000 5.7920000
OBS: 54022.420  z  NULL 9.4460000 4.5100000
OBS: 54031.560  z  NULL 7.8750000 4.5710000
OBS: 54039.410  z  NULL -1.0280000 3.1720000
OBS: 54053.480  z  NULL 3.0680000 4.2380000
OBS: 54060.460  z  NULL 0.6890000 2.4710000
OBS: 54066.350  z  NULL 2.8100000 3.2630000
END_PHOTOMETRY:

# =============================================
