OBS: 53666.450  r  NULL 46.9810000 8.2210000
OBS: 53667.470  r  NULL 46.4430000 1.8740000
OBS: 53670.340  r  NULL 42.0870000 1.6320000
OBS: 53674.500  r  NULL 29.8970000 3.8060000
OBS: 53675.380  r  NULL 29.5230000 1.6130000
OBS: 53678.370  r  NULL 24.3750000 1.8690000
OBS: 53698.460  r  NULL 3.2070000 1.6360000
OBS: 53702.350  r  NULL 3.3510000 1.4200000
OBS: 53705.330  r  NULL 4.3920000 1.0000000
OBS: 53711.360  r  NULL 3.2290000 2.8130000
OBS: 53726.330  r  NULL 2.0820000 1.6600000
OBS: 53730.350  r  NULL 4.1290000 1.9860000
OBS: 53734.310  r  NULL 0.8040000 1.4590000
OBS: 53739.320  r  NULL 2.1550000 2.8100000
OBS: 53766.290  r  NULL 0.2820000 2.9090000
OBS: 53769.270  r  NULL -0.1960000 1.6440000
OBS: 53948.590  r  NULL 0.7160000 1.8160000
OBS: 53963.590  r  NULL 2.0280000 1.9050000
OBS: 53967.580  r  NULL -0.5360000 1.6360000
OBS: 53970.600  r  NULL 0.9910000 1.1720000
OBS: 53617.480  z  NULL -0.1610000 3.7210000
OBS: 53624.580  z  NULL -0.6270000 4.1000000
OBS: 53639.600  z  NULL 5.1460000 5.0930000
OBS: 53642.510  z  NULL 16.5560000 4.9430000
OBS: 53648.510  z  NULL 38.8490000 4.5840000
OBS: 53655.490  z  NULL 44.5140000 5.3120000
OBS: 53668.360  z  NULL 63.9330000 5.2870000
OBS: 53675.490  z  NULL 51.4290000 4.3360000
OBS: 53699.360  z  NULL 23.4210000 2.9430000
OBS: 53705.390  z  NULL 16.0920000 2.6730000
OBS: 53726.380  z  NULL 14.3540000 4.4620000
OBS: 53734.350  z  NULL -4.2750000 4.9960000
OBS: 53739.350  z  NULL -2.6090000 4.5640000
OBS: 53963.620  z  NULL -8.1210000 4.9600000
OBS: 53971.600  z  NULL -7.6860000 3.9370000
END_PHOTOMETRY:

# =============================================
