SURVEY: SNLS
SNID: 05D3mn
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 214.688507 deg
DECL: 52.323145 deg
MWEBV: 0.0089 MW E(B-V)
REDSHIFT_HELIO: 0.76 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.76 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53559.367
FILTERS: griz
OBS: 53508.420  z  NULL 8.6920000 5.6550000
OBS: 53519.340  z  NULL 4.3030000 3.5960000
OBS: 53527.380  z  NULL 0.9870000 2.6800000
OBS: 53534.380  z  NULL 9.4000000 4.1290000
OBS: 53551.350  z  NULL 39.7840000 3.2040000
OBS: 53552.360  z  NULL 43.0060000 4.5730000
OBS: 53558.340  z  NULL 41.4440000 2.6840000
OBS: 53564.260  z  NULL 50.1600000 14.9040000
OBS: 53565.350  z  NULL 33.7260000 3.7350000
OBS: 53799.570  z  NULL 1.3360000 3.4680000
OBS: 53848.470  z  NULL -12.2660000 5.4090000
OBS: 53855.450  z  NULL 4.1990000 3.1430000
OBS: 53859.400  z  NULL 1.2170000 2.8600000
OBS: 53875.410  z  NULL 1.5250000 4.2340000
OBS: 53883.420  z  NULL -2.5300000 4.3840000
OBS: 53892.410  z  NULL 0.0940000 2.2210000
OBS: 53906.400  z  NULL -13.3400000 5.8520000
END_PHOTOMETRY:

# =============================================
