SURVEY: DES
SNID: 1337228
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 7.524775               # deg
DECL: -43.034130               # deg
MWEBV: 0.005                    # MW E(B-V)
MWEBV_ERR: 0.000                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 57354.145
REDSHIFT_FINAL: 0.5788 +-  0.0050    # (CMB)
OBS: 57376.044  i  NULL 53.0640000 17.7780000
OBS: 57376.047  z  NULL 48.0670000 21.5070000
OBS: 57379.044  g  NULL 7.3878000 14.0040000
OBS: 57379.046  r  NULL 8.9140000 11.3160000
OBS: 57379.048  i  NULL 17.8070000 11.0040000
OBS: 57379.051  z  NULL 40.7630000 12.1220000
OBS: 57386.042  g  NULL -0.2590000 5.9891000
OBS: 57386.044  r  NULL 12.6840000 7.4991000
OBS: 57386.046  i  NULL 18.2070000 9.4496000
OBS: 57386.049  z  NULL 22.3070000 12.0300000
OBS: 57394.057  g  NULL -2.0560000 5.1382000
OBS: 57394.059  r  NULL 10.6680000 8.3015000
OBS: 57394.061  i  NULL 15.3540000 9.2015000
OBS: 57394.064  z  NULL 24.2750000 11.4420000
OBS: 57400.101  g  NULL 2.8380000 7.9064000
OBS: 57400.103  r  NULL 20.0330000 12.1460000
OBS: 57400.105  i  NULL 5.0835000 14.0120000
OBS: 57400.108  z  NULL 23.6260000 15.4850000
OBS: 57407.042  g  NULL 21.2300000 15.1820000
OBS: 57407.044  r  NULL 14.2660000 12.4210000
OBS: 57407.046  i  NULL 19.4300000 11.7250000
OBS: 57407.048  z  NULL 10.6530000 10.5490000
END_PHOTOMETRY:

# =============================================
