SURVEY: SNLS
SNID: 05D1cl
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 36.273563 deg
DECL: -4.220818 deg
MWEBV: 0.0279 MW E(B-V)
REDSHIFT_HELIO: 0.83 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.83 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53627.857
FILTERS: griz
OBS: 53726.320  r  NULL 2.7300000 1.1010000
OBS: 53730.350  r  NULL 1.1840000 1.6920000
OBS: 53734.310  r  NULL 2.3860000 1.1100000
OBS: 53739.310  r  NULL 2.0580000 1.6330000
OBS: 53766.290  r  NULL -2.0090000 2.0810000
OBS: 53769.260  r  NULL 1.1030000 1.2640000
OBS: 53948.580  r  NULL 0.0140000 1.3340000
OBS: 53963.580  r  NULL -0.5020000 1.4600000
OBS: 53967.580  r  NULL 0.7830000 1.1520000
OBS: 53970.600  r  NULL -2.8240000 0.9790000
OBS: 53975.600  r  NULL -1.7580000 1.3130000
OBS: 53979.550  r  NULL 0.6730000 1.0450000
OBS: 53609.590  z  NULL 23.5580000 4.1470000
OBS: 53613.610  z  NULL 29.7190000 4.1290000
OBS: 53617.480  z  NULL 32.4210000 3.6410000
OBS: 53624.570  z  NULL 35.7130000 3.9850000
OBS: 53639.600  z  NULL 33.4230000 5.0640000
OBS: 53642.510  z  NULL 23.0810000 5.0490000
OBS: 53648.500  z  NULL 24.0950000 4.5110000
OBS: 53655.490  z  NULL 16.0580000 4.9660000
OBS: 53668.360  z  NULL 12.6300000 4.3610000
OBS: 53675.480  z  NULL 7.1650000 4.0260000
OBS: 53699.350  z  NULL -0.5480000 2.7930000
OBS: 53705.380  z  NULL 5.7600000 2.5490000
OBS: 53726.380  z  NULL 2.6060000 4.2900000
OBS: 53734.340  z  NULL 4.6430000 4.8560000
OBS: 53739.350  z  NULL -3.3600000 3.9560000
OBS: 53963.610  z  NULL 1.9880000 4.7340000
OBS: 53971.580  z  NULL -1.7510000 4.0560000
OBS: 53979.600  z  NULL -1.7800000 3.9360000
END_PHOTOMETRY:

# =============================================
