SURVEY: SNLS
SNID: 04D3ks
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 215.63978 deg
DECL: 52.185184 deg
MWEBV: 0.0117 MW E(B-V)
REDSHIFT_HELIO: 0.75 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.75 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53163.631
FILTERS: griz
OBS: 53411.590  r  NULL -0.5300000 1.1780000
OBS: 53415.580  r  NULL -0.6100000 2.0790000
OBS: 53419.640  r  NULL -1.4670000 2.7430000
OBS: 53446.510  r  NULL 1.2080000 1.4280000
OBS: 53461.540  r  NULL 8.9760000 2.7420000
OBS: 53466.580  r  NULL 2.7720000 2.0510000
OBS: 53469.490  r  NULL -1.2530000 1.7030000
OBS: 53473.560  r  NULL -0.6800000 1.9200000
OBS: 53494.510  r  NULL 2.9280000 1.9190000
OBS: 53495.410  r  NULL -2.4820000 1.7280000
OBS: 53498.380  r  NULL 3.1020000 1.5380000
OBS: 53502.360  r  NULL -0.3600000 1.2460000
OBS: 53505.350  r  NULL -2.2130000 1.6180000
OBS: 53508.340  r  NULL 0.0590000 2.5870000
OBS: 53123.490  z  NULL 2.5430000 5.3680000
OBS: 53134.380  z  NULL -1.3060000 7.0940000
OBS: 53151.320  z  NULL 31.7100000 6.4880000
OBS: 53169.430  z  NULL 62.9840000 7.6460000
OBS: 53177.380  z  NULL 64.9770000 7.5340000
OBS: 53182.360  z  NULL 25.0980000 5.3610000
OBS: 53204.300  z  NULL 13.2650000 4.4910000
OBS: 53415.620  z  NULL -1.1820000 7.0750000
OBS: 53446.560  z  NULL 5.2270000 3.7380000
OBS: 53461.590  z  NULL 1.1170000 11.3590000
OBS: 53462.570  z  NULL 7.1260000 10.0390000
OBS: 53469.550  z  NULL -5.5070000 5.9970000
OBS: 53475.430  z  NULL -5.4090000 5.6230000
OBS: 53495.470  z  NULL 5.6590000 6.0440000
OBS: 53502.280  z  NULL -0.4930000 4.8070000
OBS: 53505.350  z  NULL -3.1780000 4.1010000
OBS: 53508.400  z  NULL 0.2190000 9.4360000
END_PHOTOMETRY:

# =============================================
