SURVEY: SNLS
SNID: 04D1iv
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 36.200212 deg
DECL: -4.152559 deg
MWEBV: 0.0286 MW E(B-V)
REDSHIFT_HELIO: 0.998 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.998 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53265.098
FILTERS: griz
OBS: 53622.500  r  NULL 1.3200000 1.5760000
OBS: 53624.530  r  NULL -0.4720000 1.1150000
OBS: 53639.570  r  NULL -1.1550000 1.5210000
OBS: 53642.460  r  NULL 0.3630000 1.4040000
OBS: 53648.450  r  NULL 1.5030000 1.1610000
OBS: 53651.440  r  NULL 1.3060000 1.3680000
OBS: 53655.520  r  NULL 1.8570000 1.8350000
OBS: 53253.610  z  NULL 23.6740000 3.7720000
OBS: 53256.500  z  NULL 20.7840000 4.1560000
OBS: 53270.600  z  NULL 28.8620000 2.8940000
OBS: 53282.540  z  NULL 30.8190000 3.1410000
OBS: 53286.540  z  NULL 24.4000000 3.2550000
OBS: 53299.370  z  NULL 9.8890000 2.5370000
OBS: 53322.420  z  NULL 7.3710000 2.5240000
OBS: 53328.410  z  NULL 4.9520000 2.0880000
OBS: 53330.440  z  NULL 3.9240000 4.0190000
OBS: 53343.410  z  NULL 1.5380000 9.6720000
OBS: 53344.340  z  NULL 12.5450000 4.8670000
OBS: 53353.350  z  NULL -0.1880000 2.3600000
OBS: 53358.380  z  NULL 9.7770000 4.2680000
OBS: 53386.260  z  NULL -2.1220000 4.5550000
OBS: 53609.600  z  NULL -2.7030000 3.0220000
OBS: 53613.610  z  NULL 4.1660000 2.8690000
OBS: 53617.480  z  NULL 0.2230000 2.4290000
OBS: 53624.580  z  NULL 1.2350000 2.8930000
OBS: 53639.600  z  NULL 4.0340000 3.4190000
OBS: 53642.510  z  NULL 3.4530000 3.6620000
OBS: 53648.510  z  NULL 0.0600000 3.2170000
OBS: 53655.490  z  NULL 1.2590000 3.8930000
END_PHOTOMETRY:

# =============================================
