SURVEY: DES
SNID: 1313594
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 34.832935               # deg
DECL: -5.789424               # deg
MWEBV: 0.022                    # MW E(B-V)
MWEBV_ERR: 0.001                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 56998.152
REDSHIFT_FINAL: 0.2883 +-  0.0010    # (CMB)
OBS: 57005.042  z  NULL 171.0400000 12.6390000
OBS: 57012.040  g  NULL 191.2000000 11.5130000
OBS: 57012.043  r  NULL 288.3000000 20.8310000
OBS: 57012.045  i  NULL 234.9200000 21.8460000
OBS: 57012.047  z  NULL 145.5600000 21.2540000
OBS: 57014.042  g  NULL 164.4000000 7.8575000
OBS: 57014.044  r  NULL 240.9200000 9.7489000
OBS: 57014.046  i  NULL 227.7300000 9.9986000
OBS: 57014.049  z  NULL 134.2100000 11.2410000
OBS: 57018.085  g  NULL 116.5900000 7.6073000
OBS: 57018.088  r  NULL 215.6000000 9.5582000
OBS: 57018.090  i  NULL 190.3000000 11.2260000
OBS: 57018.093  z  NULL 105.9000000 11.6470000
OBS: 57025.086  g  NULL 65.8660000 23.8490000
OBS: 57025.090  i  NULL 140.4600000 17.4710000
OBS: 57025.093  z  NULL 93.6130000 17.9470000
OBS: 57030.105  g  NULL 48.9530000 11.0910000
OBS: 57030.108  r  NULL 132.1500000 9.9124000
OBS: 57030.110  i  NULL 140.3200000 10.7380000
OBS: 57030.112  z  NULL 98.8670000 11.0440000
OBS: 57037.088  g  NULL 26.0080000 4.1506000
OBS: 57037.091  r  NULL 80.7440000 6.2468000
OBS: 57037.093  i  NULL 132.2900000 9.2487000
OBS: 57037.096  z  NULL 100.8800000 11.2650000
OBS: 57044.059  g  NULL 10.0230000 5.9102000
OBS: 57044.061  r  NULL 51.5670000 9.4078000
OBS: 57044.063  i  NULL 105.6900000 11.9490000
OBS: 57044.066  z  NULL 86.4850000 14.1080000
OBS: 57051.051  g  NULL 12.3170000 12.0710000
OBS: 57051.053  r  NULL 57.9570000 10.9060000
OBS: 57051.055  i  NULL 80.6650000 11.6520000
OBS: 57051.058  z  NULL 62.3380000 11.2660000
END_PHOTOMETRY:

# =============================================
