SURVEY: SDSS
SNID: 12843
IAUC: 2006fa
PHOTOMETRY_VERSION: SMPv8+BOSS_2006
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 323.878086  deg
DECL: -0.980274  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 23
FAKE: 0   (=> data)
MWEBV: 0.0451    MW E(B-V)
MWEBV_ERR: 0.0075    error on MWEBV
NEPOCH_PRESN: 8   10   13   14   15   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.167253 +- 0.000068  (Helio, z_best)
OBS: 54011.227  r  NULL 233.8000000 31.7000000
OBS: 54011.227  i  NULL 282.3000000 37.5800000
OBS: 54011.227  z  NULL 417.8000000 113.9000000
OBS: 54011.227  u  NULL 34.4000000 100.3000000
OBS: 54019.176  g  NULL 65.4700000 21.8700000
OBS: 54019.176  r  NULL 148.7000000 23.5500000
OBS: 54019.176  i  NULL 155.4000000 36.6100000
OBS: 54019.176  z  NULL 195.6000000 106.1000000
OBS: 54019.176  u  NULL 24.5600000 55.9200000
OBS: 54025.225  g  NULL 38.5500000 20.0800000
OBS: 54025.225  r  NULL 94.6200000 28.6300000
OBS: 54025.225  i  NULL 161.6000000 39.8600000
OBS: 54025.225  z  NULL 151.7000000 153.2000000
OBS: 54025.225  u  NULL 55.2100000 63.6200000
OBS: 54029.155  g  NULL 50.3400000 14.8600000
OBS: 54029.155  r  NULL 119.8000000 22.5200000
OBS: 54029.155  i  NULL 126.1000000 35.4400000
OBS: 54029.155  z  NULL 182.3000000 119.2000000
OBS: 54029.155  u  NULL -27.4700000 47.2900000
OBS: 54031.141  g  NULL 33.0200000 16.4200000
OBS: 54031.141  r  NULL 99.2200000 25.7400000
OBS: 54031.141  i  NULL 122.8000000 36.5600000
OBS: 54031.141  z  NULL 137.0000000 117.4000000
OBS: 54031.141  u  NULL 45.7100000 51.8800000
OBS: 54036.146  g  NULL 33.2000000 24.0700000
OBS: 54036.146  r  NULL 94.5300000 28.6000000
OBS: 54036.146  i  NULL 98.9700000 44.7000000
OBS: 54036.146  z  NULL -54.1800000 148.9000000
OBS: 54036.146  u  NULL 30.1800000 62.1500000
OBS: 54039.144  g  NULL 27.8500000 44.9400000
OBS: 54039.144  r  NULL 112.3000000 36.4400000
