SURVEY: SNLS
SNID: 05D4cn
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 333.381059 deg
DECL: -17.288845 deg
MWEBV: 0.0259 MW E(B-V)
REDSHIFT_HELIO: 0.763 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.763 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53583.876
FILTERS: griz
OBS: 53613.460  z  NULL 18.6670000 4.8210000
OBS: 53617.300  z  NULL 14.8650000 4.8570000
OBS: 53624.420  z  NULL 13.5120000 3.9590000
OBS: 53639.380  z  NULL 14.2100000 4.4580000
OBS: 53642.330  z  NULL 8.7130000 3.2620000
OBS: 53648.350  z  NULL 14.2820000 4.4510000
OBS: 53654.330  z  NULL 11.0830000 4.8100000
OBS: 53668.220  z  NULL 5.0120000 6.4740000
OBS: 53674.320  z  NULL 9.2150000 4.3810000
OBS: 53681.280  z  NULL 24.0880000 12.5500000
OBS: 53682.220  z  NULL 3.6720000 4.8450000
OBS: 53700.230  z  NULL 5.5920000 2.5540000
OBS: 53909.600  z  NULL 6.9060000 7.2320000
OBS: 53911.570  z  NULL 9.4880000 4.9890000
OBS: 53921.540  z  NULL 10.5190000 7.1020000
OBS: 53935.590  z  NULL 3.2750000 4.7600000
END_PHOTOMETRY:

# =============================================
