SURVEY: SNLS
SNID: 04D2mc
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 150.148125 deg
DECL: 1.784181 deg
MWEBV: 0.0177 MW E(B-V)
REDSHIFT_HELIO: 0.348 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.348 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53367.249
FILTERS: griz
SNR: [-9.0000e+00 -9.0000e+00  1.7690e+00  1.5329e+01  3.7345e+01  2.8118e+01
  1.8045e+01  8.9710e+00  4.8380e+00  2.5290e+00  4.5580e+00  1.2280e+00
OBS: 53461.410  i  NULL 15.2480000 4.8880000
OBS: 53462.350  i  NULL 11.8320000 2.6690000
OBS: 53466.290  i  NULL 12.1890000 1.9750000
OBS: 53470.260  i  NULL 9.8140000 1.6640000
OBS: 53474.360  i  NULL 16.2760000 2.2150000
OBS: 53495.270  i  NULL 9.9660000 2.1810000
OBS: 53503.280  i  NULL 3.7200000 2.2580000
OBS: 53328.570  r  NULL 0.0050000 4.4400000
OBS: 53330.620  r  NULL 5.4770000 2.0030000
OBS: 53349.620  r  NULL 4.9960000 1.8220000
OBS: 53352.580  r  NULL 19.2760000 2.3380000
OBS: 53355.630  r  NULL 56.6620000 1.9510000
OBS: 53358.560  r  NULL 89.3190000 2.3550000
OBS: 53374.650  r  NULL 103.6760000 4.4630000
OBS: 53375.590  r  NULL 103.2610000 1.6710000
OBS: 53385.590  r  NULL 46.6680000 2.0190000
OBS: 53390.470  r  NULL 33.8620000 2.0260000
OBS: 53408.470  r  NULL 7.8940000 1.6670000
OBS: 53411.520  r  NULL 12.0780000 1.5570000
OBS: 53415.480  r  NULL 10.5900000 2.1920000
OBS: 53418.490  r  NULL 12.2400000 2.3130000
OBS: 53440.470  r  NULL 7.2030000 2.1570000
OBS: 53446.310  r  NULL 8.7740000 2.9070000
OBS: 53462.410  r  NULL 11.1920000 4.8960000
OBS: 53463.270  r  NULL 7.8140000 2.1450000
OBS: 53466.360  r  NULL 7.4590000 1.8820000
OBS: 53470.300  r  NULL 4.7170000 1.8860000
OBS: 53474.400  r  NULL 6.3430000 1.6900000
OBS: 53495.350  r  NULL 0.4680000 2.5440000
OBS: 53503.300  r  NULL 3.2980000 2.1790000
OBS: 53350.560  z  NULL 21.5310000 2.9260000
OBS: 53352.640  z  NULL 44.1840000 4.7490000
OBS: 53358.600  z  NULL 86.5880000 3.8540000
OBS: 53375.620  z  NULL 111.5550000 3.4440000
OBS: 53390.510  z  NULL 65.9750000 3.3490000
OBS: 53411.550  z  NULL 34.1600000 3.7650000
OBS: 53419.400  z  NULL 8.0250000 5.5170000
OBS: 53446.340  z  NULL 7.7060000 3.9750000
OBS: 53463.380  z  NULL 8.9490000 5.8710000
OBS: 53470.330  z  NULL 11.9210000 4.9040000
END_PHOTOMETRY:

# =============================================
