SURVEY: Hicken2009_LC
SNID: sn2005eq
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.074 MW E(B-V)
REDSHIFT_HELIO: 0.028977 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53654.769
FILTERS: UBVRIfhjklabcde

NOBS: 0
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS:      53665.2     u      md      15863.5    126.908    16.9990    0.00800000
OBS:      53666.3     u      md      14750.3    103.252    17.0780    0.00700000
OBS:      53669.2     u      md      11376.3    91.0101    17.3600    0.00800000
OBS:      53671.3     u      md      9436.26    103.799    17.5630    0.0110000
OBS:      53673.3     u      md      7670.08    84.3709    17.7880    0.0110000
OBS:      53675.2     u      md      6321.21    82.1758    17.9980    0.0130000
OBS:      53682.3     u      md      3473.76    135.477    18.6480    0.0390000
OBS:      53683.2     u      md      3283.98    55.8276    18.7090    0.0170000
OBS:      53687.2     u      md      2706.45    67.6612    18.9190    0.0250000
OBS:      53694.2     u      md      1823.06    54.6917    19.3480    0.0300000
OBS:      53698.2     u      md      1608.42    36.9937    19.4840    0.0230000
OBS:      53699.2     u      md      1567.47    45.4568    19.5120    0.0290000
OBS:      53707.2     u      md      1297.78    40.2311    19.7170    0.0310000
OBS:      53712.2     u      md      1275.26    39.5332    19.7360    0.0310000
OBS:      53721.1     u      md      1224.62    85.7231    19.7800    0.0700000
OBS:      53726.2     u      md      1151.33    65.6258    19.8470    0.0570000
OBS:      53730.2     u      md      1012.05    31.3734    19.9870    0.0310000
OBS:      53737.1     u      md      916.221    39.3975    20.0950    0.0430000
OBS:      53741.1     u      md      907.821    49.0223    20.1050    0.0540000
OBS:      53746.1     u      md      910.333    69.1853    20.1020    0.0760000
OBS:      53751.1     u      md      904.483    86.8304    20.1090    0.0960000
OBS:     53650.3     v     md     24637.7     147.826     16.5210     0.00600000
OBS:     53655.3     v     md     25989.6     207.917     16.4630     0.00800000
OBS:     53658.2     v     md     25328.0     202.624     16.4910     0.00800000
OBS:     53659.2     v     md     24797.1     223.174     16.5140     0.00900000
OBS:     53662.2     v     md     23141.9     254.561     16.5890     0.0110000
OBS:     53663.2     v     md     22100.4     198.903     16.6390     0.00900000
OBS:     53665.2     v     md     20211.6     161.693     16.7360     0.00800000
OBS:     53666.3     v     md     19480.5     155.844     16.7760     0.00800000
OBS:     53669.2     v     md     16626.5     116.385     16.9480     0.00700000
OBS:     53671.3     v     md     14845.7     133.611     17.0710     0.00900000
OBS:     53673.3     v     md     13589.4     135.894     17.1670     0.0100000
OBS:     53675.2     v     md     12348.1     160.525     17.2710     0.0130000
OBS:     53682.3     v     md     8693.61     365.131     17.6520     0.0420000
OBS:     53683.2     v     md     8371.43     100.457     17.6930     0.0120000
OBS:     53687.2     v     md     7125.25     128.255     17.8680     0.0180000
OBS:     53694.2     v     md     4897.79     78.3647     18.2750     0.0160000
OBS:     53698.2     v     md     4096.38     65.5421     18.4690     0.0160000
OBS:     53699.2     v     md     3886.87     69.9637     18.5260     0.0180000
OBS:     53707.2     v     md     3093.14     64.9560     18.7740     0.0210000
OBS:     53712.2     v     md     2808.02     53.3524     18.8790     0.0190000
OBS:     53721.1     w     md     2352.88     89.4096     19.0710     0.0380000
OBS:     53726.2     w     md     1976.97     55.3552     19.2600     0.0280000
OBS:     53730.2     x     md     1975.15     53.3291     19.2610     0.0270000
OBS:     53737.1     x     md     1648.92     51.1165     19.4570     0.0310000
OBS:     53741.1     x     md     1550.24     46.5073     19.5240     0.0300000
OBS:     53746.1     x     md     1344.00     73.9201     19.6790     0.0550000
OBS:     53751.1     x     md     1362.70     96.7517     19.6640     0.0710000
OBS:      53650.3     y      md      25421.5    152.529    16.4870    0.00600000
OBS:      53655.3     y      md      26302.7    157.816    16.4500    0.00600000
OBS:      53658.2     y      md      25003.5    150.021    16.5050    0.00600000
OBS:      53659.2     y      md      24232.6    218.094    16.5390    0.00900000
OBS:      53662.2     y      md      21938.2    153.567    16.6470    0.00700000
OBS:      53663.2     y      md      21086.3    168.690    16.6900    0.00800000
OBS:      53665.2     y      md      19355.3    135.487    16.7830    0.00700000
OBS:      53666.3     y      md      18213.8    127.496    16.8490    0.00700000
OBS:      53669.2     y      md      14873.0    89.2383    17.0690    0.00600000
OBS:      53671.3     y      md      12531.4    87.7200    17.2550    0.00700000
OBS:      53673.3     y      md      10715.2    96.4368    17.4250    0.00900000
OBS:      53675.2     y      md      9145.34    91.4534    17.5970    0.0100000
OBS:      53682.3     y      md      5301.52    84.8243    18.1890    0.0160000
OBS:      53683.2     y      md      5048.94    55.5383    18.2420    0.0110000
OBS:      53687.2     y      md      3944.57    74.9469    18.5100    0.0190000
OBS:      53694.2     y      md      2739.05    54.7810    18.9060    0.0200000
OBS:      53698.2     y      md      2342.07    35.1311    19.0760    0.0150000
OBS:      53699.2     y      md      2305.68    34.5853    19.0930    0.0150000
OBS:      53707.2     y      md      1967.89    49.1972    19.2650    0.0250000
OBS:      53712.2     y      md      1773.37    37.2408    19.3780    0.0210000
OBS:      53721.1     y      md      1554.53    63.7359    19.5210    0.0410000
OBS:      53726.2     y      md      1507.99    30.1599    19.5540    0.0200000
OBS:      53730.2     y      md      1394.44    23.7055    19.6390    0.0170000
OBS:      53737.1     y      md      1275.26    22.9548    19.7360    0.0180000
OBS:      53741.1     y      md      1179.24    33.0186    19.8210    0.0280000
OBS:      53746.1     y      md      1099.51    58.2742    19.8970    0.0530000
OBS:      53751.1     y      md      1032.76    77.4571    19.9650    0.0750000
OBS:      53650.3     z      md      24010.4    144.063    16.5490    0.00600000
OBS:      53655.3     z      md      27340.1    191.380    16.4080    0.00700000
OBS:      53658.2     z      md      26497.2    185.480    16.4420    0.00700000
OBS:      53659.2     z      md      25870.2    181.091    16.4680    0.00700000
OBS:      53662.2     z      md      23399.2    187.193    16.5770    0.00800000
OBS:      53663.2     z      md      22346.0    201.114    16.6270    0.00900000
OBS:      53665.2     z      md      20193.0    161.544    16.7370    0.00800000
OBS:      53666.3     z      md      19142.6    172.283    16.7950    0.00900000
OBS:      53669.2     z      md      16173.3    113.213    16.9780    0.00700000
OBS:      53671.3     z      md      15163.5    121.308    17.0480    0.00800000
OBS:      53673.3     z      md      14441.1    129.970    17.1010    0.00900000
OBS:      53675.2     z      md      13867.5    138.675    17.1450    0.0100000
OBS:      53682.3     z      md      12167.5    170.344    17.2870    0.0140000
OBS:      53683.2     z      md      12044.8    120.448    17.2980    0.0100000
OBS:      53687.2     z      md      10904.4    130.852    17.4060    0.0120000
OBS:      53694.2     z      md      7426.77    111.402    17.8230    0.0150000
OBS:      53698.2     z      md      6245.97    62.4597    18.0110    0.0100000
OBS:      53699.2     z      md      5861.38    82.0594    18.0800    0.0140000
OBS:      53707.2     z      md      4558.27    82.0488    18.3530    0.0180000
OBS:      53712.2     z      md      4006.82    52.0887    18.4930    0.0130000
OBS:      53721.1     z      md      3121.76    71.8006    18.7640    0.0230000
OBS:      53726.2     z      md      2759.30    52.4268    18.8980    0.0190000
OBS:      53730.2     z      md      2372.47    52.1943    19.0620    0.0220000
