SURVEY:   PS1_LOWZ_COMBINED(CSP)
PHOTOMETRY_VERSION:  PS1_LOWZ_COMBINED(CSP)DR2
SNTYPE: 1
SNID:  2006bh
IAUC:  2006bh
IAUC:    UNKNOWN
RA:   340.067  deg
DECL:    -66.4851  deg
FILTERS:     abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # uBomngri -> tuvwxyzA
REDSHIFT_HELIO: 0.0107679826403 +- 0.000 (Hel)
REDSHIFT_CMB: 0.0104218274355 +- 0.000 (CMB)
REDSHIFT_FINAL: 0.0104218274355 +- 0.000 (CMB)
HOSTGAL_LOGMASS: 10.915 +- 0.352000
MWEBV:    0.0260000  MW E(B-V)
SEARCH_PEAKMJD: 53833.602
NOBS: 143
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:     53830.4     x     md     147096.     441.287     14.5810     0.00300000
OBS:     53831.4     x     md     155310.     621.241     14.5220     0.00400000
OBS:     53832.4     x     md     160546.     481.639     14.4860     0.00300000
OBS:     53833.4     x     md     163682.     491.045     14.4650     0.00300000
OBS:     53835.4     x     md     162480.     812.400     14.4730     0.00500000
OBS:     53838.4     x     md     151915.     607.659     14.5460     0.00400000
OBS:     53841.4     x     md     131462.     657.310     14.7030     0.00500000
OBS:     53845.4     x     md     100832.     403.330     14.9910     0.00400000
OBS:     53846.4     x     md     94973.0     474.865     15.0560     0.00500000
OBS:     53850.3     x     md     73113.9     365.569     15.3400     0.00500000
OBS:     53853.4     x     md     60534.1     363.205     15.5450     0.00600000
OBS:     53858.4     x     md     41648.5     333.188     15.9510     0.00800000
OBS:     53861.4     x     md     33481.1     167.406     16.1880     0.00500000
OBS:     53862.3     x     md     30874.6     216.122     16.2760     0.00700000
OBS:     53866.3     x     md     25351.3     228.162     16.4900     0.00900000
OBS:     53867.3     x     md     24277.3     218.495     16.5370     0.00900000
OBS:     53870.3     x     md     22039.4     198.355     16.6420     0.00900000
OBS:     53871.3     x     md     21105.7     168.846     16.6890     0.00800000
OBS:     53872.3     x     md     20436.2     183.926     16.7240     0.00900000
OBS:     53886.3     x     md     13905.9     69.5296     17.1420     0.00500000
OBS:     53891.3     x     md     12212.4     97.6989     17.2830     0.00800000
OBS:     53892.3     x     md     11923.4     59.6170     17.3090     0.00500000
OBS:     53893.3     x     md     11577.1     46.3084     17.3410     0.00400000
OBS:      53828.4     y      md      134153.    402.459    14.6810    0.00300000
OBS:      53829.4     y      md      148320.    444.961    14.5720    0.00300000
OBS:      53830.4     y      md      161585.    646.339    14.4790    0.00400000
OBS:      53831.4     y      md      170294.    681.177    14.4220    0.00400000
OBS:      53832.4     y      md      171870.    687.481    14.4120    0.00400000
OBS:      53833.4     y      md      177011.    885.055    14.3800    0.00500000
OBS:      53838.4     y      md      150245.    600.980    14.5580    0.00400000
OBS:      53841.4     y      md      123254.    493.015    14.7730    0.00400000
OBS:      53845.4     y      md      86218.4    258.655    15.1610    0.00300000
OBS:      53846.4     y      md      78126.9    312.507    15.2680    0.00400000
OBS:      53850.3     y      md      51428.1    205.712    15.7220    0.00400000
OBS:      53853.4     y      md      37774.6    226.648    16.0570    0.00600000
OBS:      53858.4     y      md      23944.2    119.721    16.5520    0.00500000
OBS:      53861.4     y      md      19125.0    95.6248    16.7960    0.00500000
OBS:      53862.3     y      md      17832.0    124.824    16.8720    0.00700000
OBS:      53866.3     y      md      14547.9    130.931    17.0930    0.00900000
OBS:      53867.3     y      md      14335.1    143.351    17.1090    0.0100000
OBS:      53870.3     y      md      12942.0    142.362    17.2200    0.0110000
OBS:      53871.3     y      md      12776.2    114.985    17.2340    0.00900000
OBS:      53872.3     y      md      12508.3    112.575    17.2570    0.00900000
OBS:      53886.3     y      md      9479.81    37.9193    17.5580    0.00400000
OBS:      53891.3     y      md      8774.04    61.4183    17.6420    0.00700000
OBS:      53892.3     y      md      8598.06    34.3922    17.6640    0.00400000
OBS:      53893.3     y      md      8472.27    33.8891    17.6800    0.00400000
OBS:      53828.4     z      md      126474.    505.895    14.7450    0.00400000
OBS:      53829.4     z      md      138548.    554.192    14.6460    0.00400000
OBS:      53830.4     z      md      148320.    296.640    14.5720    0.00200000
OBS:      53831.4     z      md      155167.    465.502    14.5230    0.00300000
OBS:      53832.4     z      md      158198.    790.989    14.5020    0.00500000
OBS:      53833.4     z      md      163080.    815.399    14.4690    0.00500000
OBS:      53838.4     z      md      148047.    592.189    14.5740    0.00400000
OBS:      53841.4     z      md      117058.    468.231    14.8290    0.00400000
OBS:      53845.4     z      md      89454.1    357.816    15.1210    0.00400000
OBS:      53846.4     z      md      86696.2    346.785    15.1550    0.00400000
OBS:      53850.3     z      md      79579.3    318.317    15.2480    0.00400000
OBS:      53853.4     z      md      74336.2    446.017    15.3220    0.00600000
OBS:      53858.4     z      md      56859.1    227.437    15.6130    0.00400000
OBS:      53861.4     z      md      44833.2    179.333    15.8710    0.00400000
OBS:      53862.3     z      md      41342.8    206.714    15.9590    0.00500000
OBS:      53866.3     z      md      32359.3    161.797    16.2250    0.00500000
OBS:      53867.3     z      md      31217.6    249.741    16.2640    0.00800000
OBS:      53870.3     z      md      27644.0    165.864    16.3960    0.00600000
OBS:      53871.3     z      md      26375.4    158.253    16.4470    0.00600000
OBS:      53872.3     z      md      25538.8    229.849    16.4820    0.00900000
OBS:      53886.3     z      md      15790.7    63.1626    17.0040    0.00400000
OBS:      53891.3     z      md      13292.3    93.0461    17.1910    0.00700000
OBS:      53892.3     z      md      12918.1    51.6725    17.2220    0.00400000
OBS:      53893.3     z      md      12428.0    49.7118    17.2640    0.00400000
OBS:      53828.4     A      md      97994.1    293.982    15.0220    0.00300000
OBS:      53829.4     A      md      104616.    418.466    14.9510    0.00400000
OBS:      53830.4     A      md      104616.    418.466    14.9510    0.00400000
OBS:      53831.4     A      md      101391.    304.173    14.9850    0.00300000
OBS:      53832.4     A      md      98084.4    686.591    15.0210    0.00700000
OBS:      53833.4     A      md      93669.9    562.019    15.0710    0.00600000
OBS:      53838.4     A      md      77339.3    309.357    15.2790    0.00400000
OBS:      53841.4     A      md      56754.5    397.281    15.6150    0.00700000
OBS:      53845.4     A      md      47467.9    237.340    15.8090    0.00500000
OBS:      53846.4     A      md      47863.0    287.178    15.8000    0.00600000
OBS:      53850.3     A      md      53161.9    212.647    15.6860    0.00400000
OBS:      53853.4     A      md      57016.4    456.132    15.6100    0.00800000
OBS:      53858.4     A      md      52966.4    211.866    15.6900    0.00400000
OBS:      53861.4     A      md      41533.6    207.668    15.9540    0.00500000
