SURVEY: Jha2006_LC
SNID: sn1997do
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: Jha2006_LC
MWEBV: 0.063 MW E(B-V)
REDSHIFT_HELIO: 0.01012 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 50766.469
FILTERS: UBVRIfhjkl

NOBS: 31
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

SPEC:   3906.75   3908.25 3.67374e-15 1.34206e-16 1
SPEC:   3908.25   3909.75 3.76795e-15 1.34206e-16 1
SPEC:   3909.75   3911.25 3.83925e-15 1.34206e-16 1
SPEC:   3911.25   3912.75 3.83130e-15 1.34206e-16 1
SPEC:   3912.75   3914.25 3.93774e-15 1.34206e-16 1
SPEC:   3914.25   3915.75 3.86600e-15 1.34206e-16 1
SPEC:   3915.75   3917.25 3.72899e-15 1.34206e-16 1
SPEC:   3917.25   3918.75 3.85184e-15 1.34206e-16 1
SPEC:   3918.75   3920.25 3.86512e-15 1.34206e-16 1
SPEC:   3920.25   3921.75 3.82532e-15 1.22091e-16 1
SPEC:   3921.75   3923.25 3.96932e-15 1.22091e-16 1
SPEC:   3923.25   3924.75 4.03659e-15 1.22091e-16 1
SPEC:   3924.75   3926.25 3.92233e-15 1.22091e-16 1
SPEC:   3926.25   3927.75 3.76727e-15 1.22091e-16 1
SPEC:   3927.75   3929.25 3.91230e-15 1.22091e-16 1
SPEC:   3929.25   3930.75 3.62900e-15 1.22091e-16 1
SPEC:   3930.75   3932.25 3.72591e-15 1.22091e-16 1
SPEC:   3932.25   3933.75 3.94189e-15 1.22091e-16 1
SPEC:   3933.75   3935.25 3.84737e-15 1.22091e-16 1
SPEC:   3935.25   3936.75 3.75918e-15 1.22091e-16 1
SPEC:   3936.75   3938.25 3.65087e-15 1.22091e-16 1
SPEC:   3938.25   3939.75 3.81280e-15 1.22091e-16 1
