SPEC:   4498.65   4504.15 1.67132e-15 2.57143e-17 1
SPEC:   4504.15   4509.65 1.62751e-15 2.56921e-17 1
SPEC:   4509.65   4515.15 1.57180e-15 2.55646e-17 1
SPEC:   4515.15   4520.65 1.61419e-15 2.54428e-17 1
SPEC:   4520.65   4526.15 1.54538e-15 2.53271e-17 1
SPEC:   4526.15   4531.65 1.51824e-15 2.51385e-17 1
SPEC:   4531.75   4537.25 1.58759e-15 2.49227e-17 1
SPEC:   4537.25   4542.75 1.60039e-15 2.47223e-17 1
SPEC:   4542.75   4548.25 1.62397e-15 2.45284e-17 1
SPEC:   4548.25   4553.75 1.68843e-15 2.42861e-17 1
SPEC:   4553.75   4559.25 1.75882e-15 2.40125e-17 1
SPEC:   4559.35   4564.85 1.83919e-15 2.37245e-17 1
SPEC:   4564.85   4570.35 1.87779e-15 2.33663e-17 1
SPEC:   4570.35   4575.85 1.96077e-15 2.31022e-17 1
SPEC:   4575.85   4581.35 1.96404e-15 2.27813e-17 1
SPEC:   4581.35   4586.85 1.92344e-15 2.24273e-17 1
SPEC:   4586.85   4592.35 1.99063e-15 2.21219e-17 1
SPEC:   4592.45   4597.95 1.97232e-15 2.18134e-17 1
SPEC:   4597.95   4603.45 1.97062e-15 2.13952e-17 1
SPEC:   4603.45   4608.95 2.00597e-15 2.11546e-17 1
SPEC:   4608.95   4614.45 2.00310e-15 2.08677e-17 1
SPEC:   4614.45   4619.95 2.00680e-15 2.05444e-17 1
SPEC:   4620.05   4625.55 1.99530e-15 2.02567e-17 1
SPEC:   4625.55   4631.05 1.97080e-15 2.00255e-17 1
SPEC:   4631.05   4636.55 1.93357e-15 1.96928e-17 1
SPEC:   4636.55   4642.05 1.94307e-15 1.94738e-17 1
SPEC:   4642.05   4647.55 1.90735e-15 1.92810e-17 1
SPEC:   4647.65   4653.15 1.91689e-15 1.91355e-17 1
SPEC:   4653.15   4658.65 1.91856e-15 1.89388e-17 1
SPEC:   4658.65   4664.15 1.91840e-15 1.88187e-17 1
SPEC:   4664.15   4669.65 1.90461e-15 1.86525e-17 1
SPEC:   4669.65   4675.15 1.90245e-15 1.85453e-17 1
SPEC:   4675.15   4680.65 1.92995e-15 1.84617e-17 1
SPEC:   4680.65   4686.15 1.87490e-15 1.83310e-17 1
SPEC:   4686.25   4691.75 1.90052e-15 1.82254e-17 1
SPEC:   4691.75   4697.25 1.89734e-15 1.81341e-17 1
SPEC:   4697.25   4702.75 1.88372e-15 1.80552e-17 1
SPEC:   4702.75   4708.25 1.88923e-15 1.80004e-17 1
SPEC:   4708.25   4713.75 1.84692e-15 1.79035e-17 1
SPEC:   4713.85   4719.35 1.77109e-15 1.78642e-17 1
SPEC:   4719.35   4724.85 1.75401e-15 1.77964e-17 1
SPEC:   4724.85   4730.35 1.73842e-15 1.77129e-17 1
SPEC:   4730.35   4735.85 1.65189e-15 1.76463e-17 1
SPEC:   4735.85   4741.35 1.64969e-15 1.75996e-17 1
SPEC:   4741.35   4746.85 1.58778e-15 1.74973e-17 1
SPEC:   4746.95   4752.45 1.53727e-15 1.74723e-17 1
SPEC:   4752.45   4757.95 1.49633e-15 1.73936e-17 1
SPEC:   4757.95   4763.45 1.50938e-15 1.73255e-17 1
SPEC:   4763.45   4768.95 1.47968e-15 1.72696e-17 1
SPEC:   4768.95   4774.45 1.47449e-15 1.72613e-17 1
SPEC:   4774.55   4780.05 1.45078e-15 1.71935e-17 1
SPEC:   4780.05   4785.55 1.42723e-15 1.71629e-17 1
SPEC:   4785.55   4791.05 1.44833e-15 1.70784e-17 1
SPEC:   4791.05   4796.55 1.42328e-15 1.70173e-17 1
