SPEC: 5490.15 5495.65 5.22489e-16 2.07062e-17 1
SPEC: 5495.65 5501.15 5.30971e-16 2.06030e-17 1
SPEC: 5501.15 5506.65 5.61589e-16 2.05010e-17 1
SPEC: 5506.75 5512.25 5.48777e-16 2.04018e-17 1
SPEC: 5512.25 5517.75 5.57542e-16 2.02834e-17 1
SPEC: 5517.75 5523.25 5.66883e-16 2.01962e-17 1
SPEC: 5523.25 5528.75 5.56716e-16 2.00954e-17 1
SPEC: 5528.85 5534.35 5.66434e-16 1.99929e-17 1
SPEC: 5534.35 5539.85 5.78189e-16 1.99540e-17 1
SPEC: 5539.85 5545.35 6.00568e-16 1.99524e-17 1
SPEC: 5545.35 5550.85 6.36870e-16 1.98748e-17 1
SPEC: 5550.95 5556.45 6.43676e-16 1.97836e-17 1
SPEC: 5556.45 5561.95 6.22549e-16 1.97617e-17 1
SPEC: 5561.95 5567.45 5.93288e-16 1.98175e-17 1
SPEC: 5567.45 5572.95 6.16224e-16 2.04632e-17 1
SPEC: 5573.05 5578.55 6.21393e-16 2.51215e-17 1
SPEC: 5578.55 5584.05 6.46089e-16 2.26674e-17 1
SPEC: 5584.05 5589.55 6.16407e-16 1.96961e-17 1
SPEC: 5589.55 5595.05 5.95418e-16 1.96589e-17 1
SPEC: 5595.15 5600.65 6.01491e-16 1.96837e-17 1
SPEC: 5600.65 5606.15 5.67849e-16 1.97540e-17 1
SPEC: 5606.15 5611.65 5.51993e-16 1.97167e-17 1
SPEC: 5611.65 5617.15 5.51881e-16 1.97273e-17 1
SPEC: 5617.15 5622.65 5.47658e-16 1.97548e-17 1
SPEC: 5622.75 5628.25 5.24547e-16 1.97952e-17 1
SPEC: 5628.25 5633.75 4.93917e-16 1.97560e-17 1
SPEC: 5633.75 5639.25 5.10760e-16 1.97837e-17 1
SPEC: 5639.35 5644.85 4.92545e-16 1.98446e-17 1
SPEC: 5644.85 5650.35 4.38534e-16 1.98892e-17 1
SPEC: 5650.35 5655.85 4.41296e-16 1.98598e-17 1
SPEC: 5655.85 5661.35 4.32543e-16 1.98559e-17 1
SPEC: 5661.35 5666.85 4.78992e-16 1.99007e-17 1
SPEC: 5666.95 5672.45 5.03896e-16 1.99459e-17 1
