SPEC:   4127.95   4133.45 8.87245e-16 7.98887e-18 1
SPEC:   4133.45   4138.95 8.59714e-16 7.93055e-18 1
SPEC:   4138.95   4144.45 8.57446e-16 7.85164e-18 1
SPEC:   4144.45   4149.95 8.57544e-16 7.75143e-18 1
SPEC:   4149.95   4155.45 8.20146e-16 7.70582e-18 1
SPEC:   4155.45   4160.95 8.04773e-16 7.70468e-18 1
SPEC:   4161.05   4166.55 8.03302e-16 7.69749e-18 1
SPEC:   4166.55   4172.05 8.14819e-16 7.64427e-18 1
SPEC:   4172.05   4177.55 8.17372e-16 7.54264e-18 1
SPEC:   4177.55   4183.05 8.29810e-16 7.50411e-18 1
SPEC:   4183.05   4188.55 8.28137e-16 7.45880e-18 1
SPEC:   4188.65   4194.15 8.51287e-16 7.41490e-18 1
SPEC:   4194.15   4199.65 8.54210e-16 7.37572e-18 1
SPEC:   4199.65   4205.15 8.60320e-16 7.35043e-18 1
SPEC:   4205.15   4210.65 8.67643e-16 7.36365e-18 1
SPEC:   4210.65   4216.15 8.71119e-16 7.35480e-18 1
SPEC:   4216.15   4221.65 8.82334e-16 7.35140e-18 1
SPEC:   4221.75   4227.25 8.87206e-16 7.34549e-18 1
SPEC:   4227.25   4232.75 8.69142e-16 7.38427e-18 1
SPEC:   4232.75   4238.25 8.82308e-16 7.41069e-18 1
SPEC:   4238.25   4243.75 8.80867e-16 7.43156e-18 1
SPEC:   4243.75   4249.25 8.81716e-16 7.45483e-18 1
SPEC:   4249.35   4254.85 8.83280e-16 7.49775e-18 1
SPEC:   4254.85   4260.35 8.76910e-16 7.54713e-18 1
SPEC:   4260.35   4265.85 8.49884e-16 7.56374e-18 1
SPEC:   4265.85   4271.35 8.54233e-16 7.59597e-18 1
SPEC:   4271.35   4276.85 8.15713e-16 7.59229e-18 1
SPEC:   4276.85   4282.35 7.82269e-16 7.60868e-18 1
SPEC:   4282.45   4287.95 7.69846e-16 7.57118e-18 1
SPEC:   4287.95   4293.45 7.56278e-16 7.54889e-18 1
SPEC:   4293.45   4298.95 7.50169e-16 7.52221e-18 1
SPEC:   4298.95   4304.45 7.39941e-16 7.45234e-18 1
SPEC:   4304.45   4309.95 7.39626e-16 7.42865e-18 1
SPEC:   4310.05   4315.55 7.33164e-16 7.41800e-18 1
SPEC:   4315.55   4321.05 6.97324e-16 7.39890e-18 1
SPEC:   4321.05   4326.55 7.00344e-16 7.25666e-18 1
SPEC:   4326.55   4332.05 7.09625e-16 7.26172e-18 1
SPEC:   4332.05   4337.55 7.03979e-16 7.16815e-18 1
SPEC:   4337.55   4343.05 6.88269e-16 7.06156e-18 1
