SPEC: 4327.80 4336.00 3.15652e-16 1.30459e-17 1
SPEC: 4336.10 4344.30 3.02595e-16 1.28923e-17 1
SPEC: 4344.30 4352.50 3.20842e-16 1.27804e-17 1
SPEC: 4352.50 4360.70 3.12338e-16 1.26663e-17 1
SPEC: 4360.80 4369.00 3.30388e-16 1.25564e-17 1
SPEC: 4369.00 4377.20 3.18213e-16 1.24325e-17 1
SPEC: 4377.20 4385.40 3.06094e-16 1.22924e-17 1
SPEC: 4385.50 4393.70 3.36534e-16 1.21666e-17 1
SPEC: 4393.70 4401.90 3.09637e-16 1.20456e-17 1
SPEC: 4401.90 4410.10 3.38514e-16 1.19551e-17 1
SPEC: 4410.10 4418.30 3.26013e-16 1.18572e-17 1
SPEC: 4418.40 4426.60 3.33959e-16 1.17226e-17 1
SPEC: 4426.60 4434.80 3.38153e-16 1.15860e-17 1
SPEC: 4434.80 4443.00 3.21926e-16 1.14650e-17 1
SPEC: 4443.00 4451.20 3.28040e-16 1.13357e-17 1
SPEC: 4451.30 4459.50 3.14450e-16 1.11913e-17 1
SPEC: 4459.50 4467.70 3.16893e-16 1.10950e-17 1
SPEC: 4467.70 4475.90 2.87120e-16 1.09659e-17 1
SPEC: 4476.00 4484.20 2.75726e-16 1.08346e-17 1
SPEC: 4484.20 4492.40 3.04135e-16 1.07137e-17 1
SPEC: 4492.40 4500.60 2.74819e-16 1.05866e-17 1
SPEC: 4500.70 4508.90 2.75208e-16 1.04522e-17 1
SPEC: 4508.90 4517.10 2.67899e-16 1.03079e-17 1
SPEC: 4517.10 4525.30 2.71465e-16 1.01593e-17 1
SPEC: 4525.30 4533.50 2.71438e-16 1.00036e-17 1
SPEC: 4533.60 4541.80 2.57284e-16 9.84795e-18 1
SPEC: 4541.80 4550.00 2.54256e-16 9.65900e-18 1
SPEC: 4550.00 4558.20 2.26579e-16 9.46686e-18 1
SPEC: 4558.30 4566.50 2.46107e-16 9.27555e-18 1
SPEC: 4566.50 4574.70 2.23156e-16 9.05864e-18 1
SPEC: 4574.70 4582.90 2.03722e-16 8.86024e-18 1
SPEC: 4582.90 4591.10 2.24159e-16 8.64057e-18 1
SPEC: 4591.20 4599.40 2.04313e-16 8.43797e-18 1
SPEC: 4599.40 4607.60 2.05830e-16 8.20161e-18 1
SPEC: 4607.60 4615.80 2.06868e-16 8.02536e-18 1
SPEC: 4615.90 4624.10 1.96730e-16 7.82556e-18 1
SPEC: 4624.10 4632.30 1.89597e-16 7.64995e-18 1
SPEC: 4632.30 4640.50 1.73659e-16 7.46693e-18 1
SPEC: 4640.50 4648.70 1.72490e-16 7.32419e-18 1
SPEC: 4648.80 4657.00 1.77390e-16 7.19861e-18 1
SPEC: 4657.00 4665.20 1.77803e-16 7.10338e-18 1
SPEC: 4665.20 4673.40 1.82094e-16 7.00667e-18 1
SPEC: 4673.50 4681.70 1.68046e-16 6.95167e-18 1
SPEC: 4681.70 4689.90 1.89456e-16 6.89000e-18 1
SPEC: 4689.90 4698.10 1.89809e-16 6.84140e-18 1
SPEC: 4698.10 4706.30 1.92337e-16 6.81555e-18 1
SPEC: 4706.40 4714.60 2.03351e-16 6.80158e-18 1
SPEC: 4714.60 4722.80 2.00694e-16 6.80189e-18 1
SPEC: 4722.80 4731.00 1.96861e-16 6.78714e-18 1
SPEC: 4731.10 4739.30 2.19883e-16 6.77241e-18 1
SPEC: 4739.30 4747.50 2.08351e-16 6.74010e-18 1
SPEC: 4747.50 4755.70 2.21816e-16 6.72813e-18 1
SPEC: 4755.80 4764.00 2.10704e-16 6.68956e-18 1
SPEC: 4764.00 4772.20 2.02438e-16 6.64208e-18 1
SPEC: 4772.20 4780.40 2.02741e-16 6.61128e-18 1
SPEC: 4780.40 4788.60 1.92964e-16 6.53689e-18 1
SPEC: 4788.70 4796.90 1.87613e-16 6.45661e-18 1
SPEC: 4796.90 4805.10 2.06596e-16 6.38914e-18 1
SPEC: 4805.10 4813.30 1.89205e-16 6.28707e-18 1
SPEC: 4813.30 4821.50 1.97337e-16 6.20913e-18 1
SPEC: 4821.60 4829.80 1.95714e-16 6.11785e-18 1
SPEC: 4829.80 4838.00 1.94492e-16 6.03270e-18 1
SPEC: 4838.00 4846.20 2.05629e-16 5.91943e-18 1
SPEC: 4846.30 4854.50 2.09599e-16 5.84582e-18 1
SPEC: 4854.50 4862.70 2.15191e-16 5.75767e-18 1
SPEC: 4862.70 4870.90 2.07737e-16 5.68233e-18 1
SPEC: 4871.00 4879.20 2.20913e-16 5.60854e-18 1
SPEC: 4879.20 4887.40 2.14767e-16 5.55832e-18 1
SPEC: 4887.40 4895.60 2.18900e-16 5.50485e-18 1
SPEC: 4895.60 4903.80 2.16165e-16 5.45935e-18 1
SPEC: 4903.90 4912.10 2.14353e-16 5.41970e-18 1
SPEC: 4912.10 4920.30 2.12377e-16 5.48291e-18 1
SPEC: 4920.30 4928.50 2.23752e-16 5.34351e-18 1
SPEC: 4928.50 4936.70 2.09188e-16 5.32476e-18 1
SPEC: 4936.80 4945.00 2.18236e-16 5.30341e-18 1
SPEC: 4945.00 4953.20 2.20528e-16 5.27596e-18 1
SPEC: 4953.20 4961.40 2.22691e-16 5.24925e-18 1
SPEC: 4961.50 4969.70 2.10934e-16 5.23078e-18 1
SPEC: 4969.70 4977.90 2.23919e-16 5.20857e-18 1
SPEC: 4977.90 4986.10 2.11488e-16 5.17537e-18 1
SPEC: 4986.10 4994.30 2.16496e-16 5.15794e-18 1
SPEC: 4994.40 5002.60 2.10032e-16 5.17690e-18 1
SPEC: 5002.60 5010.80 2.14644e-16 5.10784e-18 1
SPEC: 5010.80 5019.00 2.04798e-16 5.08612e-18 1
SPEC: 5019.10 5027.30 2.00245e-16 5.06743e-18 1
SPEC: 5027.30 5035.50 1.88477e-16 5.04710e-18 1
SPEC: 5035.50 5043.70 1.90491e-16 5.00536e-18 1
SPEC: 5043.80 5052.00 1.84366e-16 4.99786e-18 1
SPEC: 5052.00 5060.20 1.84841e-16 4.98064e-18 1
SPEC: 5060.20 5068.40 1.88422e-16 4.98725e-18 1
SPEC: 5068.40 5076.60 1.84767e-16 4.92489e-18 1
SPEC: 5076.70 5084.90 1.76315e-16 4.89335e-18 1
SPEC: 5084.90 5093.10 1.70411e-16 4.88360e-18 1
SPEC: 5093.10 5101.30 1.85221e-16 4.83870e-18 1
SPEC: 5101.40 5109.60 1.85849e-16 4.81899e-18 1
SPEC: 5109.60 5117.80 1.81662e-16 4.78609e-18 1
SPEC: 5117.80 5126.00 1.81155e-16 4.74044e-18 1
SPEC: 5126.00 5134.20 1.81027e-16 4.70210e-18 1
SPEC: 5134.30 5142.50 1.69087e-16 4.65048e-18 1
SPEC: 5142.50 5150.70 1.68968e-16 4.62283e-18 1
SPEC: 5150.70 5158.90 1.68887e-16 4.57490e-18 1
